dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_adaptor_enabled,ttt_adaptor_bottleneck,ttt_adaptor_trainable_params,ttt_adaptor_target
BLE_RSSI_dataset_for_Indoor_localization,/data0/zhuhao2025/tabiclv2_test/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7336004006009014,0.7330939074782732,0.7326163567434275,0.9028185183210141,0.5858824810446973,9.444007396697998,2.14628529548645,ok,,7987,6389,0,1997,0.6126098930835724,8,1e-05,True,9.394821166992188,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9016697085347305,0.9016697085347305,0.7509386733416771,0.7509386733416771,0,True,False,,True,64,67136,row_interactor_output
BNG(tic-tac-toe),/data0/zhuhao2025/tabiclv2_test/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8149606299212598,0.8129306901922331,0.786057866304142,0.8828128019274676,0.40668441717005316,37.77315664291382,40.617310523986816,ok,,31492,25193,0,7874,0.4854159355163574,32,1e-05,True,37.29290556907654,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.877775519968929,0.877775519968929,0.8083822829020479,0.8083822829020479,0,True,False,,True,64,67136,row_interactor_output
California-Housing-Classification,/data0/zhuhao2025/tabiclv2_test/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9222383720930233,0.9222379203169508,0.9222396448905482,0.9796472848610186,0.1835120067225508,16.961261510849,13.324684858322144,ok,,16512,13209,0,4128,0.24952095746994019,16,1e-05,True,16.735690593719482,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.9770800732698504,0.9770800732698504,0.9191643960036331,0.9191643960036331,0,True,False,,True,64,67136,row_interactor_output
Credit_c,/data0/zhuhao2025/tabiclv2_test/data178/Credit_c,multiclass,80000,16000,20000,22,3,0.819,0.818998889424976,0.8274753452180496,0.9312835419033791,0.4235842579650686,580.8241739273071,306.89707946777344,ok,,80000,64000,0,20000,0.6444051563739777,232,1e-05,True,578.3084232807159,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,8,epoch_chunk,roc_auc,0.9259059114989651,0.9263397302410482,0.812625,0.813375,21,True,False,,True,64,67136,row_interactor_output
E-CommereShippingData,/data0/zhuhao2025/tabiclv2_test/data178/E-CommereShippingData,binclass,0,0,0,0,0,,,,,,0.0,0.0,fail,RuntimeError: expected scalar type Half but found Float,0,0,0,0,,0,,False,0.0,,,0,0,,,,,,,0,False,False,,False,0,0,
FOREX_audcad-day-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7465940054495913,0.7464998647714711,0.7463613140854275,0.8318036000712885,0.506481676801739,6.501233339309692,0.6490111351013184,ok,,1467,1173,0,367,0.5516723990440369,16,1e-05,True,6.450614929199219,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.7958805831983337,0.7960657255264986,0.7040816326530612,0.7040816326530612,8,True,False,,True,64,67136,row_interactor_output
FOREX_audjpy-day-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.782016348773842,0.7815679029797274,0.7808394269068426,0.8556566197015636,0.47499177206301574,3.8462753295898438,0.6785299777984619,ok,,1465,1172,0,367,0.5331858992576599,8,1e-05,True,3.7998340129852295,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8312820512820512,0.8312820512820512,0.7508532423208191,0.7508532423208191,0,True,False,,True,64,67136,row_interactor_output
FOREX_audusd-hour-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.7073588134626355,0.7073647305819839,0.7063494966237988,0.7855255346605454,0.5552338135016178,45.63476228713989,50.659600496292114,ok,,35060,28048,0,8765,0.560859203338623,32,1e-05,True,45.02902269363403,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.7771021862436497,0.7771021862436497,0.7082144894466629,0.7082144894466629,0,True,False,,True,64,67136,row_interactor_output
Firm-Teacher_Clave-Direction_Classification,/data0/zhuhao2025/tabiclv2_test/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8787037037037037,0.8768428066676891,0.7958375238921434,0.970446080880312,0.3157342037132238,11.458072900772095,5.870729446411133,ok,,8640,6912,0,2160,0.3267935812473297,8,1e-05,True,11.180723190307617,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9648407346944146,0.9648407346944146,0.8674768518518519,0.8674768518518519,0,True,False,,True,64,67136,row_interactor_output
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/data0/zhuhao2025/tabiclv2_test/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.684375,0.6842238962003302,0.684375,0.7601367187499999,0.5668015721770289,5.058282136917114,0.7980170249938965,ok,,1280,1024,0,320,0.5668656826019287,10,1e-05,True,4.967557907104492,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.718353271484375,0.71875,0.671875,0.671875,2,True,False,,True,64,67136,row_interactor_output
HR_Analytics_Job_Change_of_Data_Scientists,/data0/zhuhao2025/tabiclv2_test/data178/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8006263048016702,0.8031068007088733,0.7469025872281881,0.8113345234910565,0.429713491794309,34.51157808303833,12.85484004020691,ok,,15326,12260,0,3832,0.42511893808841705,32,1e-05,True,34.161070585250854,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.8096695667981809,0.8097783572359842,0.8033268101761253,0.8036529680365296,8,True,False,,True,64,67136,row_interactor_output
Indian_pines,/data0/zhuhao2025/tabiclv2_test/data178/Indian_pines,multiclass,7315,1463,1829,220,8,0.9879715691634773,0.9879578467409422,0.9930974426807759,0.9998890431897651,0.029980007009521387,102.56436967849731,67.12797808647156,ok,,7315,5852,0,1829,0.08116051182150841,16,1e-05,True,100.32582306861877,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,,,,,0,True,False,,True,64,67136,row_interactor_output
MIC,/data0/zhuhao2025/tabiclv2_test/data178/MIC,binclass,1319,264,330,104,2,0.9090909090909091,0.8995772562318263,0.7459413873076113,0.8827746152224331,0.264802944893252,38.84648942947388,2.536013603210449,ok,,1319,1055,0,330,0.3124915361404419,21,1e-05,True,37.9185791015625,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8808377994093842,0.88111123263699,0.875,0.875,13,True,False,,True,64,67136,row_interactor_output
Mobile_Price_Classification,/data0/zhuhao2025/tabiclv2_test/data178/Mobile_Price_Classification,multiclass,1600,320,400,20,4,0.965,0.965028546694125,0.9650000000000001,0.9990499999999999,0.06944276861993011,5.9989423751831055,0.962787389755249,ok,,1600,1280,0,400,0.11144281551241875,8,1e-05,True,5.846868276596069,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9990755208333334,0.9990755208333334,0.96875,0.96875,0,True,False,,True,64,67136,row_interactor_output
PieChart3,/data0/zhuhao2025/tabiclv2_test/data178/PieChart3,binclass,861,173,216,37,2,0.8842592592592593,0.8504784688995214,0.5687830687830688,0.8745835782872821,0.267848258200539,6.778632879257202,1.4463951587677002,ok,,861,688,0,216,0.2596607953310013,8,1e-05,True,6.600671052932739,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.837719298245614,0.837719298245614,0.884393063583815,0.884393063583815,0,True,False,,True,64,67136,row_interactor_output
Pumpkin_Seeds,/data0/zhuhao2025/tabiclv2_test/data178/Pumpkin_Seeds,binclass,2000,400,500,12,2,0.882,0.8818763921833047,0.8810897435897436,0.9479166666666667,0.2925185228722813,7.0218729972839355,0.9719774723052979,ok,,2000,1600,0,500,0.25968731939792633,11,1e-05,True,6.922852277755737,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9456505408653846,0.9457507011217948,0.8725,0.8725,3,True,False,,True,64,67136,row_interactor_output
SDSS17,/data0/zhuhao2025/tabiclv2_test/data178/SDSS17,multiclass,80000,16000,20000,12,3,0.9776,0.977487119201928,0.9725261900028929,0.9969879508475107,0.06987599583708247,252.49594044685364,277.79917216300964,ok,,80000,64000,0,20000,0.08149384334683418,240,1e-05,True,250.219144821167,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,8,epoch_chunk,roc_auc,,,,,0,False,False,,True,64,67136,row_interactor_output
UJI_Pen_Characters,/data0/zhuhao2025/tabiclv2_test/data178/UJI_Pen_Characters,multiclass,1091,219,273,80,35,0.5347985347985348,0.5237833116190207,0.5461843711843711,0.9655482200882571,1.3754756469189628,2.664990186691284,7.070939064025879,ok,,1091,872,0,273,,0,1e-05,False,1.3289470672607422,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=35 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,,False,0,0,
abalone,/data0/zhuhao2025/tabiclv2_test/data178/abalone,multiclass,3341,669,836,8,3,0.6399521531100478,0.6434301523934186,0.6377321444696306,0.8330561219069669,0.7392910785407726,6.20262336730957,1.4555153846740723,ok,,3341,2672,0,836,0.7111490666866302,8,1e-05,True,6.087482213973999,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8534269589374913,0.8534269589374913,0.6935724962630793,0.6935724962630793,0,True,False,,True,64,67136,row_interactor_output
ada_agnostic,/data0/zhuhao2025/tabiclv2_test/data178/ada_agnostic,binclass,3649,730,913,48,2,0.8488499452354874,0.8459310883106685,0.7800407135793272,0.9086320494214049,0.31797509936955076,17.25049662590027,3.479801893234253,ok,,3649,2919,0,913,0.3475741893053055,11,1e-05,True,16.723227739334106,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8999939618995865,0.9001197556582032,0.8547945205479452,0.8547945205479452,3,True,False,,True,64,67136,row_interactor_output
allbp,/data0/zhuhao2025/tabiclv2_test/data178/allbp,multiclass,3017,604,755,29,3,0.9774834437086093,0.975153287094861,0.643059402893198,0.990052931955093,0.05983641344844513,9.207125425338745,2.021836996078491,ok,,3017,2413,0,755,0.06476708501577377,8,1e-05,True,8.88793396949768,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9944087894168433,0.9944087894168433,0.9817880794701986,0.9817880794701986,0,True,False,,True,64,67136,row_interactor_output
artificial-characters,/data0/zhuhao2025/tabiclv2_test/data178/artificial-characters,multiclass,0,0,0,0,0,,,,,,0.0,0.0,fail,RuntimeError: expected scalar type Half but found Float,0,0,0,0,,0,,False,0.0,,,0,0,,,,,,,0,False,False,,False,0,0,
bank,/data0/zhuhao2025/tabiclv2_test/data178/bank,binclass,36168,7234,9043,16,2,0.9082162999004755,0.9048271168249175,0.744271276602041,0.9431749393060949,0.18519853091618757,71.13312602043152,62.89621329307556,ok,,36168,28934,0,9043,0.22189505398273468,32,1e-05,True,69.51062607765198,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.9437586876101911,0.9437586876101911,0.915537738457285,0.915537738457285,0,True,False,,True,64,67136,row_interactor_output
car-evaluation,/data0/zhuhao2025/tabiclv2_test/data178/car-evaluation,multiclass,1382,277,346,21,4,0.9855491329479769,0.985510846572902,0.9699959131777314,0.99971200002883,0.022729933293606112,6.9035937786102295,0.8619306087493896,ok,,1382,1105,0,346,0.0422477163374424,8,1e-05,True,6.686625719070435,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,1.0,1.0,0.9855595667870036,0.9855595667870036,0,True,False,,True,64,67136,row_interactor_output
company_bankruptcy_prediction,/data0/zhuhao2025/tabiclv2_test/data178/company_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.968475073313783,0.9642473162234833,0.6431818181818182,0.9650826446280992,0.07192787230356311,33.126715898513794,8.748821020126343,ok,,5455,4364,0,1364,0.07963179051876068,8,1e-05,True,31.84647226333618,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9578598484848485,0.9578598484848485,0.9670027497708524,0.9670027497708524,0,True,False,,True,64,67136,row_interactor_output
credit,/data0/zhuhao2025/tabiclv2_test/data178/credit,binclass,13371,2675,3343,10,2,0.7852228537241999,0.7852072472777378,0.785220329058324,0.8653171610272621,0.46123226464291345,18.722553253173828,10.022652387619019,ok,,13371,10696,0,3343,0.48837152123451233,16,1e-05,True,18.326236963272095,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.8561869656650489,0.8561869656650489,0.7786915887850467,0.7786915887850467,0,True,False,,True,64,67136,row_interactor_output
default_of_credit_card_clients,/data0/zhuhao2025/tabiclv2_test/data178/default_of_credit_card_clients,binclass,24000,4800,6000,23,2,0.8271666666666667,0.8071825607752615,0.6683534989359097,0.8014085792599376,0.4134620428414114,47.845587730407715,29.883174896240234,ok,,24000,19200,0,6000,0.4186801016330719,24,1e-05,True,46.27263641357422,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.7968722762809602,0.7968722762809602,0.82125,0.82125,0,True,False,,True,64,67136,row_interactor_output
dna,/data0/zhuhao2025/tabiclv2_test/data178/dna,multiclass,2548,510,638,180,3,0.9717868338557993,0.9719225529564051,0.9714135951918074,0.9979678728363842,0.07893890993536973,38.359875202178955,7.126878261566162,ok,,2548,2038,0,638,0.13062827289104462,8,1e-05,True,36.36472153663635,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.994979093823989,0.994979093823989,0.9686274509803922,0.9686274509803922,0,True,False,,True,64,67136,row_interactor_output
eeg-eye-state,/data0/zhuhao2025/tabiclv2_test/data178/eeg-eye-state,binclass,11984,2397,2996,14,2,0.9939919893190922,0.9939911503547095,0.9937908533523672,0.999904079762406,0.012943171216658209,18.534053087234497,8.979501724243164,ok,,11984,9587,0,2996,0.13917706906795502,16,1e-05,True,18.08109164237976,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.9997706480108288,0.9997706480108288,0.9929078014184397,0.9929078014184397,0,True,False,,True,64,67136,row_interactor_output
eye_movements,/data0/zhuhao2025/tabiclv2_test/data178/eye_movements,multiclass,8748,1750,2188,27,3,0.8363802559414991,0.8359206506945058,0.8457472542313399,0.9533429316593454,0.39274706090064754,61.47891330718994,7.266890525817871,ok,,8748,6998,0,2188,0.5398883521556854,27,1e-05,True,60.7067711353302,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9499865967148047,0.9504389143185096,0.8148571428571428,0.8131428571428572,19,True,False,,True,64,67136,row_interactor_output
