dataset_name,acc_full,task_type,acc_step,step,delta,delta_pp,winner
contraceptive_method_choice,0.6271186440677966,multiclass,0.6271186440677966,1,0.0,0.0,tie
dis,0.9841059602649008,binclass,0.9841059602649008,1,0.0,0.0,tie
dry_bean_dataset,0.927653323540213,multiclass,0.927653323540213,1,0.0,0.0,tie
estimation_of_obesity_levels,0.9858156028368794,multiclass,0.9858156028368794,1,0.0,0.0,tie
first-order-theorem-proving,0.6372549019607843,multiclass,0.636437908496732,1,0.0008169934640522847,0.08169934640522847,full_training
golf_play_dataset_extended,0.9360730593607306,binclass,0.9360730593607306,1,0.0,0.0,tie
house_16H,0.890659747961453,binclass,0.8902891030392883,1,0.0003706449221646535,0.03706449221646535,full_training
in_vehicle_coupon_recommendation,0.793062672447773,binclass,0.7934568387859677,1,-0.0003941663381947791,-0.03941663381947791,icl_training
jm1,0.8213137344970143,binclass,0.8213137344970143,1,0.0,0.0,tie
kdd_ipums_la_97-small,0.8882466281310212,binclass,0.8882466281310212,1,0.0,0.0,tie
led24,0.734375,multiclass,0.734375,1,0.0,0.0,tie
mfeat-factors,0.975,multiclass,0.975,1,0.0,0.0,tie
mfeat-morphological,0.76,multiclass,0.76,1,0.0,0.0,tie
mice_protein_expression,1.0,multiclass,1.0,1,0.0,0.0,tie
mozilla4,0.9401736892891605,binclass,0.9401736892891605,1,0.0,0.0,tie
okcupid_stem,0.7477511244377811,multiclass,0.7475637181409296,1,0.00018740629685154442,0.018740629685154442,full_training
one-hundred-plants-texture,0.91875,multiclass,0.91875,1,0.0,0.0,tie
ozone-level-8hr,0.9566074950690336,binclass,0.9566074950690336,1,0.0,0.0,tie
pc3,0.9009584664536742,binclass,0.9009584664536742,1,0.0,0.0,tie
phoneme,0.902867715078631,binclass,0.902867715078631,1,0.0,0.0,tie
qsar,0.90521327014218,binclass,0.90521327014218,1,0.0,0.0,tie
rl,0.8541247484909457,binclass,0.8541247484909457,1,0.0,0.0,tie
seismic+bumps,0.9342359767891684,binclass,0.9342359767891684,1,0.0,0.0,tie
spambase,0.9587404994571118,binclass,0.9598262757871878,1,-0.0010857763300760048,-0.10857763300760048,icl_training
statlog,0.745,binclass,0.745,1,0.0,0.0,tie
taiwanese_bankruptcy_prediction,0.9706744868035192,binclass,0.9706744868035192,1,0.0,0.0,tie
thyroid,0.99375,multiclass,0.99375,1,0.0,0.0,tie
turiye_student_evaluation,0.5223367697594502,multiclass,0.5214776632302406,1,0.0008591065292096189,0.0859106529209619,full_training
volkert,0.7337506431143886,multiclass,0.7337506431143886,1,0.0,0.0,tie
water_quality,0.908125,binclass,0.908125,1,0.0,0.0,tie
waveform_database_generator_version_1,0.866,multiclass,0.866,1,0.0,0.0,tie
wine-quality-red,0.665625,multiclass,0.665625,1,0.0,0.0,tie
BLE_RSSI_dataset_for_Indoor_localization,0.7401101652478718,multiclass,0.7406109163745619,1,-0.0005007511266901243,-0.050075112669012434,icl_training
California-Housing-Classification,0.9125484496124032,binclass,0.9127906976744186,1,-0.00024224806201533777,-0.024224806201533777,icl_training
E-CommereShippingData,0.6781818181818182,binclass,0.6781818181818182,1,0.0,0.0,tie
FOREX_audcad-day-High,0.7438692098092643,binclass,0.7438692098092643,1,0.0,0.0,tie
FOREX_audjpy-day-High,0.7656675749318801,binclass,0.7656675749318801,1,0.0,0.0,tie
Firm-Teacher_Clave-Direction_Classification,0.8787037037037037,multiclass,0.8777777777777778,1,0.0009259259259258856,0.09259259259258856,full_training
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.68125,binclass,0.68125,1,0.0,0.0,tie
HR_Analytics_Job_Change_of_Data_Scientists,0.7995824634655533,binclass,0.7995824634655533,1,0.0,0.0,tie
MIC,0.9090909090909092,binclass,0.9090909090909092,1,0.0,0.0,tie
Mobile_Price_Classification,0.94,multiclass,0.94,1,0.0,0.0,tie
PieChart3,0.8703703703703703,binclass,0.8703703703703703,1,0.0,0.0,tie
Pumpkin_Seeds,0.872,binclass,0.872,1,0.0,0.0,tie
UJI_Pen_Characters,0.5421245421245421,multiclass,0.5421245421245421,1,0.0,0.0,tie
abalone,0.65311004784689,multiclass,0.6519138755980861,1,0.0011961722488038617,0.11961722488038617,full_training
ada_agnostic,0.8400876232201533,binclass,0.8400876232201533,1,0.0,0.0,tie
allbp,0.9788079470198676,multiclass,0.9788079470198676,1,0.0,0.0,tie
artificial-characters,0.8639921722113503,multiclass,0.8644814090019569,1,-0.0004892367906066397,-0.04892367906066397,icl_training
car-evaluation,0.976878612716763,multiclass,0.976878612716763,1,0.0,0.0,tie
company_bankruptcy_prediction,0.9714076246334312,binclass,0.9706744868035192,1,0.0007331378299120228,0.07331378299120228,full_training
credit,0.7831289261142687,binclass,0.7828297935985642,1,0.00029913251570445887,0.029913251570445887,full_training
dna,0.963949843260188,multiclass,0.9655172413793104,1,-0.0015673981191224318,-0.15673981191224318,icl_training
eeg-eye-state,0.9913217623497996,binclass,0.9913217623497996,1,0.0,0.0,tie
eye_movements,0.7161791590493601,multiclass,0.7161791590493601,1,0.0,0.0,tie
heloc,0.7255,binclass,0.7255,1,0.0,0.0,tie
htru,0.9793296089385476,binclass,0.9793296089385476,1,0.0,0.0,tie
kr-vs-k,0.8508553100498931,multiclass,0.8508553100498931,1,0.0,0.0,tie
led7,0.7375,multiclass,0.7375,1,0.0,0.0,tie
mammography,0.9888243182834152,binclass,0.9888243182834152,1,0.0,0.0,tie
mfeat-fourier,0.8875,multiclass,0.8875,1,0.0,0.0,tie
mfeat-pixel,0.975,multiclass,0.975,1,0.0,0.0,tie
microaggregation2,0.64075,multiclass,0.64025,1,0.000500000000000056,0.050000000000005596,full_training
one-hundred-plants-margin,0.909375,multiclass,0.909375,1,0.0,0.0,tie
online_shoppers,0.9042984590429846,binclass,0.9042984590429846,1,0.0,0.0,tie
page-blocks,0.9789954337899544,multiclass,0.9789954337899544,1,0.0,0.0,tie
pc4,0.9143835616438356,binclass,0.9143835616438356,1,0.0,0.0,tie
pol,0.983143282102132,binclass,0.983143282102132,1,0.0,0.0,tie
rice_cammeo_and_osmancik,0.9291338582677166,binclass,0.9291338582677166,1,0.0,0.0,tie
satimage,0.9315707620528773,multiclass,0.9315707620528773,1,0.0,0.0,tie
semeion,0.9592476489028212,multiclass,0.9592476489028212,1,0.0,0.0,tie
splice,0.9561128526645768,multiclass,0.9561128526645768,1,0.0,0.0,tie
steel_plates_faults,0.8380462724935732,multiclass,0.8380462724935732,1,0.0,0.0,tie
telco-customer-churn,0.8055358410220014,binclass,0.8055358410220014,1,0.0,0.0,tie
thyroid-ann,0.9894039735099338,multiclass,0.9894039735099338,1,0.0,0.0,tie
twonorm,0.979054054054054,binclass,0.979054054054054,1,0.0,0.0,tie
walking-activity,0.6641443733886898,multiclass,0.6641443733886898,1,0.0,0.0,tie
waveform-5000,0.866,multiclass,0.866,1,0.0,0.0,tie
website_phishing,0.911439114391144,multiclass,0.911439114391144,1,0.0,0.0,tie
wine-quality-white,0.6836734693877551,multiclass,0.6836734693877551,1,0.0,0.0,tie
ASP-POTASSCO-classification,0.4401544401544401,multiclass,0.4401544401544401,10,0.0,0.0,tie
Bank_Customer_Churn_Dataset,0.877,binclass,0.8775,10,-0.0004999999999999449,-0.04999999999999449,icl_training
Customer_Personality_Analysis,0.8839285714285714,binclass,0.8839285714285714,10,0.0,0.0,tie
Employee,0.8517722878625135,binclass,0.8517722878625135,10,0.0,0.0,tie
FOREX_cadjpy-day-High,0.7138964577656676,binclass,0.7084468664850136,10,0.00544959128065392,0.544959128065392,full_training
Fitness_Club_c,0.7933333333333333,binclass,0.7933333333333333,10,0.0,0.0,tie
Gender_Gap_in_Spanish_WP,0.6105263157894737,multiclass,0.608421052631579,10,0.002105263157894721,0.21052631578947212,full_training
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.8639455782312925,binclass,0.8639455782312925,10,0.0,0.0,tie
JapaneseVowels,0.9989964877069744,multiclass,0.9989964877069744,10,0.0,0.0,tie
MagicTelescope,0.8830178759200841,binclass,0.8832807570977917,10,-0.0002628811777076745,-0.02628811777076745,icl_training
National_Health_and_Nutrition_Health_Survey,0.8377192982456141,binclass,0.8377192982456141,10,0.0,0.0,tie
Pima_Indians_Diabetes_Database,0.7467532467532467,binclass,0.7467532467532467,10,0.0,0.0,tie
QSAR_biodegradation,0.8767772511848341,binclass,0.8909952606635071,10,-0.014218009478673022,-1.4218009478673022,icl_training
Satellite,0.9931372549019608,binclass,0.9931372549019608,10,0.0,0.0,tie
Water_Quality_and_Potability,0.6402439024390244,binclass,0.6417682926829268,10,-0.0015243902439023849,-0.1524390243902385,icl_training
ada_prior,0.8411829134720701,binclass,0.8400876232201533,10,0.0010952902519167917,0.10952902519167917,full_training
allrep,0.9854304635761588,multiclass,0.9854304635761588,10,0.0,0.0,tie
autoUniv-au4-2500,0.522,multiclass,0.522,10,0.0,0.0,tie
banknote_authentication,0.5490909090909091,binclass,0.5490909090909091,10,0.0,0.0,tie
churn,0.953,binclass,0.953,10,0.0,0.0,tie
compass,0.8344848302793632,binclass,0.8347852207870231,10,-0.00030039050765995334,-0.030039050765995334,icl_training
delta_ailerons,0.9523141654978962,binclass,0.9516129032258064,10,0.0007012622720897754,0.07012622720897754,full_training
drug_consumption,0.403183023872679,multiclass,0.403183023872679,10,0.0,0.0,tie
eye_movements_bin,0.6281208935611038,binclass,0.6281208935611038,10,0.0,0.0,tie
hill-valley,0.925925925925926,binclass,0.9300411522633744,10,-0.004115226337448319,-0.4115226337448319,icl_training
ibm-employee-performance,1.0,binclass,1.0,10,0.0,0.0,tie
internet_usage,0.5296735905044511,multiclass,0.5296735905044511,10,0.0,0.0,tie
kc1,0.8815165876777251,binclass,0.8815165876777251,10,0.0,0.0,tie
kropt,0.852815395580898,multiclass,0.852815395580898,10,0.0,0.0,tie
letter,0.98625,multiclass,0.98625,10,0.0,0.0,tie
maternal_health_risk,0.8719211822660099,multiclass,0.8719211822660099,10,0.0,0.0,tie
mfeat-karhunen,0.975,multiclass,0.975,10,0.0,0.0,tie
mfeat-zernike,0.8625,multiclass,0.8625,10,0.0,0.0,tie
national-longitudinal-survey-binary,1.0,binclass,1.0,10,0.0,0.0,tie
one-hundred-plants-shape,0.8,multiclass,0.8,10,0.0,0.0,tie
optdigits,0.99644128113879,multiclass,0.9955516014234876,10,0.000889679715302405,0.0889679715302405,full_training
pc1,0.945945945945946,binclass,0.945945945945946,10,0.0,0.0,tie
pendigits,0.9972714870395636,multiclass,0.9972714870395636,10,0.0,0.0,tie
predict_students_dropout_and_academic_success,0.7627118644067796,multiclass,0.7627118644067796,10,0.0,0.0,tie
ringnorm,0.9797297297297296,binclass,0.9797297297297296,10,0.0,0.0,tie
segment,0.935064935064935,multiclass,0.935064935064935,10,0.0,0.0,tie
sports_articles_for_objectivity_analysis,0.855,binclass,0.855,10,0.0,0.0,tie
sylvine,0.9707317073170731,binclass,0.9707317073170731,10,0.0,0.0,tie
texture,1.0,multiclass,1.0,10,0.0,0.0,tie
thyroid-dis,0.6946428571428571,multiclass,0.6946428571428571,10,0.0,0.0,tie
vehicle,0.8588235294117647,multiclass,0.8588235294117647,10,0.0,0.0,tie
wall-robot-navigation,0.9862637362637364,multiclass,0.9862637362637364,10,0.0,0.0,tie
waveform_database_generator,0.35,multiclass,0.353,10,-0.0030000000000000027,-0.30000000000000027,icl_training
wine,0.7749510763209393,binclass,0.7749510763209393,10,0.0,0.0,tie
yeast,0.622895622895623,multiclass,0.622895622895623,10,0.0,0.0,tie
Amazon_employee_access,0.9441562404638388,binclass,0.9441562404638388,10,0.0,0.0,tie
Basketball_c,0.7089552238805971,binclass,0.7089552238805971,10,0.0,0.0,tie
Click_prediction_small,0.8317897371714643,binclass,0.8317897371714643,10,0.0,0.0,tie
Diabetic_Retinopathy_Debrecen,0.7532467532467533,binclass,0.7489177489177489,10,0.0043290043290044045,0.43290043290044045,full_training
FICO-HELOC-cleaned,0.7448101265822785,binclass,0.7437974683544304,10,0.0010126582278481289,0.10126582278481289,full_training
FOREX_audchf-day-High,0.7438692098092643,binclass,0.7384196185286104,10,0.00544959128065392,0.544959128065392,full_training
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.66875,binclass,0.66875,10,0.0,0.0,tie
GesturePhaseSegmentationProcessed,0.7964556962025316,multiclass,0.7939240506329114,10,0.0025316455696202667,0.25316455696202667,full_training
KDDCup09_upselling,0.8138401559454191,binclass,0.8138401559454191,10,0.0,0.0,tie
Marketing_Campaign,0.890625,binclass,0.890625,10,0.0,0.0,tie
PhishingWebsites,0.9800995024875622,binclass,0.9800995024875622,10,0.0,0.0,tie
PizzaCutter3,0.8803827751196173,binclass,0.8803827751196173,10,0.0,0.0,tie
Telecom_Churn_Dataset,0.9550224887556222,binclass,0.9550224887556222,10,0.0,0.0,tie
Wilt,0.9927461139896372,binclass,0.9927461139896372,10,0.0,0.0,tie
ada,0.846987951807229,binclass,0.846987951807229,10,0.0,0.0,tie
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.6125,binclass,0.61,10,0.0025000000000000577,0.2500000000000058,full_training
analcatdata_authorship,0.9881656804733728,multiclass,0.9881656804733728,10,0.0,0.0,tie
autoUniv-au7-1100,0.4045454545454545,multiclass,0.4045454545454545,10,0.0,0.0,tie
baseball,0.9477611940298508,multiclass,0.9477611940298508,10,0.0,0.0,tie
cmc,0.5898305084745763,multiclass,0.5864406779661017,10,0.003389830508474634,0.3389830508474634,full_training
contraceptive_method_choice,0.6305084745762712,multiclass,0.6237288135593221,10,0.006779661016949157,0.6779661016949157,full_training
dis,0.9827814569536424,binclass,0.9841059602649008,10,-0.0013245033112584403,-0.13245033112584403,icl_training
dry_bean_dataset,0.9265515975027544,multiclass,0.9265515975027544,10,0.0,0.0,tie
estimation_of_obesity_levels,0.983451536643026,multiclass,0.983451536643026,10,0.0,0.0,tie
first-order-theorem-proving,0.6331699346405228,multiclass,0.636437908496732,10,-0.0032679738562091387,-0.32679738562091387,icl_training
golf_play_dataset_extended,0.9360730593607306,binclass,0.9360730593607306,10,0.0,0.0,tie
house_16H,0.8884358784284655,binclass,0.8902891030392883,10,-0.0018532246108228234,-0.18532246108228234,icl_training
in_vehicle_coupon_recommendation,0.7950335041387465,binclass,0.795821836815136,10,-0.0007883326763894472,-0.07883326763894472,icl_training
jm1,0.8203950390445567,binclass,0.8203950390445567,10,0.0,0.0,tie
kdd_ipums_la_97-small,0.8863198458574181,binclass,0.8863198458574181,10,0.0,0.0,tie
led24,0.7328125,multiclass,0.7328125,10,0.0,0.0,tie
mfeat-factors,0.9725,multiclass,0.9725,10,0.0,0.0,tie
mfeat-morphological,0.7575,multiclass,0.755,10,0.0024999999999999467,0.24999999999999467,full_training
mice_protein_expression,1.0,multiclass,1.0,10,0.0,0.0,tie
mozilla4,0.9404953361209392,binclass,0.940816982952718,10,-0.00032164683177882125,-0.032164683177882125,icl_training
okcupid_stem,0.7481259370314842,multiclass,0.7477511244377811,10,0.00037481259370308884,0.037481259370308884,full_training
one-hundred-plants-texture,0.91875,multiclass,0.91875,10,0.0,0.0,tie
ozone-level-8hr,0.9566074950690336,binclass,0.9566074950690336,10,0.0,0.0,tie
pc3,0.9009584664536742,binclass,0.9009584664536742,10,0.0,0.0,tie
phoneme,0.901017576318224,binclass,0.9019426456984274,10,-0.0009250693802034249,-0.09250693802034249,icl_training
qsar,0.90521327014218,binclass,0.90521327014218,10,0.0,0.0,tie
rl,0.852112676056338,binclass,0.8541247484909457,10,-0.002012072434607659,-0.2012072434607659,icl_training
seismic+bumps,0.9342359767891684,binclass,0.9342359767891684,10,0.0,0.0,tie
spambase,0.9609120521172638,binclass,0.9587404994571118,10,0.0021715526601520097,0.21715526601520097,full_training
statlog,0.735,binclass,0.735,10,0.0,0.0,tie
taiwanese_bankruptcy_prediction,0.9721407624633432,binclass,0.9721407624633432,10,0.0,0.0,tie
thyroid,0.9930555555555556,multiclass,0.99375,10,-0.000694444444444442,-0.0694444444444442,icl_training
turiye_student_evaluation,0.5249140893470791,multiclass,0.5257731958762887,10,-0.0008591065292096189,-0.0859106529209619,icl_training
volkert,0.7337506431143886,multiclass,0.7337506431143886,10,0.0,0.0,tie
water_quality,0.908125,binclass,0.908125,10,0.0,0.0,tie
waveform_database_generator_version_1,0.865,multiclass,0.865,10,0.0,0.0,tie
wine-quality-red,0.66875,multiclass,0.66875,10,0.0,0.0,tie
BLE_RSSI_dataset_for_Indoor_localization,0.7386079118678017,multiclass,0.7391086629944917,10,-0.0005007511266900133,-0.05007511266900133,icl_training
California-Housing-Classification,0.913032945736434,binclass,0.913032945736434,10,0.0,0.0,tie
E-CommereShippingData,0.6763636363636364,binclass,0.6759090909090909,10,0.00045454545454548523,0.04545454545454852,full_training
FOREX_audcad-day-High,0.7411444141689373,binclass,0.7411444141689373,10,0.0,0.0,tie
FOREX_audjpy-day-High,0.771117166212534,binclass,0.771117166212534,10,0.0,0.0,tie
Firm-Teacher_Clave-Direction_Classification,0.8777777777777778,multiclass,0.8768518518518519,10,0.0009259259259258856,0.09259259259258856,full_training
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.68125,binclass,0.68125,10,0.0,0.0,tie
HR_Analytics_Job_Change_of_Data_Scientists,0.7995824634655533,binclass,0.8001043841336117,10,-0.0005219206680584509,-0.052192066805845094,icl_training
MIC,0.9090909090909092,binclass,0.9090909090909092,10,0.0,0.0,tie
Mobile_Price_Classification,0.94,multiclass,0.94,10,0.0,0.0,tie
PieChart3,0.8796296296296297,binclass,0.875,10,0.00462962962962965,0.462962962962965,full_training
Pumpkin_Seeds,0.874,binclass,0.874,10,0.0,0.0,tie
UJI_Pen_Characters,0.5421245421245421,multiclass,0.5421245421245421,10,0.0,0.0,tie
abalone,0.6495215311004785,multiclass,0.65311004784689,10,-0.0035885167464114742,-0.3588516746411474,icl_training
ada_agnostic,0.8400876232201533,binclass,0.8400876232201533,10,0.0,0.0,tie
allbp,0.9788079470198676,multiclass,0.9788079470198676,10,0.0,0.0,tie
artificial-characters,0.8732876712328768,multiclass,0.8708414872798435,10,0.0024461839530333096,0.24461839530333096,full_training
car-evaluation,0.9826589595375722,multiclass,0.9826589595375722,10,0.0,0.0,tie
company_bankruptcy_prediction,0.9714076246334312,binclass,0.9714076246334312,10,0.0,0.0,tie
credit,0.7828297935985642,binclass,0.784026323661382,10,-0.0011965300628178355,-0.11965300628178355,icl_training
dna,0.963949843260188,multiclass,0.9655172413793104,10,-0.0015673981191224318,-0.15673981191224318,icl_training
eeg-eye-state,0.9913217623497996,binclass,0.9913217623497996,10,0.0,0.0,tie
eye_movements,0.7175502742230347,multiclass,0.7193784277879341,10,-0.001828153564899404,-0.1828153564899404,icl_training
heloc,0.725,binclass,0.725,10,0.0,0.0,tie
htru,0.979608938547486,binclass,0.979608938547486,10,0.0,0.0,tie
kr-vs-k,0.8508553100498931,multiclass,0.8508553100498931,10,0.0,0.0,tie
led7,0.740625,multiclass,0.740625,10,0.0,0.0,tie
mammography,0.9892713455520786,binclass,0.9888243182834152,10,0.0004470272686634136,0.04470272686634136,full_training
mfeat-fourier,0.8925,multiclass,0.895,10,-0.0025000000000000577,-0.2500000000000058,icl_training
mfeat-pixel,0.975,multiclass,0.975,10,0.0,0.0,tie
microaggregation2,0.63925,multiclass,0.6395,10,-0.00024999999999997247,-0.024999999999997247,icl_training
one-hundred-plants-margin,0.909375,multiclass,0.909375,10,0.0,0.0,tie
online_shoppers,0.90551500405515,binclass,0.9047039740470396,10,0.0008110300081103361,0.08110300081103361,full_training
page-blocks,0.9789954337899544,multiclass,0.9789954337899544,10,0.0,0.0,tie
pc4,0.9143835616438356,binclass,0.9143835616438356,10,0.0,0.0,tie
pol,0.9826474962816064,binclass,0.9836390679226574,10,-0.0009915716410510145,-0.09915716410510145,icl_training
rice_cammeo_and_osmancik,0.9291338582677166,binclass,0.9291338582677166,10,0.0,0.0,tie
satimage,0.93701399688958,multiclass,0.937791601866252,10,-0.0007776049766720083,-0.07776049766720083,icl_training
semeion,0.9592476489028212,multiclass,0.9592476489028212,10,0.0,0.0,tie
splice,0.9592476489028212,multiclass,0.9592476489028212,10,0.0,0.0,tie
steel_plates_faults,0.8380462724935732,multiclass,0.8380462724935732,10,0.0,0.0,tie
telco-customer-churn,0.8062455642299503,binclass,0.8048261178140526,10,0.0014194464158977516,0.14194464158977516,full_training
thyroid-ann,0.9894039735099338,multiclass,0.9894039735099338,10,0.0,0.0,tie
twonorm,0.9783783783783784,binclass,0.9783783783783784,10,0.0,0.0,tie
walking-activity,0.6641443733886898,multiclass,0.6641443733886898,10,0.0,0.0,tie
waveform-5000,0.87,multiclass,0.869,10,0.0010000000000000009,0.10000000000000009,full_training
website_phishing,0.911439114391144,multiclass,0.911439114391144,10,0.0,0.0,tie
wine-quality-white,0.6836734693877551,multiclass,0.6836734693877551,10,0.0,0.0,tie
ASP-POTASSCO-classification,0.4401544401544401,multiclass,0.4401544401544401,20,0.0,0.0,tie
Bank_Customer_Churn_Dataset,0.877,binclass,0.876,20,0.0010000000000000009,0.10000000000000009,full_training
Customer_Personality_Analysis,0.8839285714285714,binclass,0.8839285714285714,20,0.0,0.0,tie
Employee,0.849624060150376,binclass,0.849624060150376,20,0.0,0.0,tie
