step,full_ok,step_ok,common_ok,raw_common_ok,full_avg_common,step_avg_common,mean_gap_pp,median_gap_pp,full_better,step_better,tie,abs_gap_ge_0_1pp,abs_gap_ge_0_5pp,extra_full_failures,shared_failures
1,152,172,150,152,0.8375031534210648,0.8374763916739143,0.002676174715052474,0.0,14,9,127,9,0,20,6
10,150,172,150,150,0.8377297949845729,0.8377049688992793,0.0024826085293541875,0.0,23,26,101,29,4,22,6
20,150,172,150,150,0.8379287658969469,0.8379369072525371,-0.0008141355590152907,0.0,27,34,89,41,7,22,6
30,150,172,150,150,0.8377597360176243,0.8376677157840794,0.009202023354495678,0.0,36,39,75,57,10,22,6
40,150,172,150,150,0.8373157053239237,0.8378893137507114,-0.057360842678768585,0.0,31,45,74,54,12,22,6
50,150,172,150,150,0.8372395131740632,0.8376795246066898,-0.0440011432626631,0.0,34,45,71,59,13,22,6
