dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,status_baseline,status_ttt,bucket_ttt_vs_baseline,accuracy_baseline,accuracy_ttt,delta_ttt_vs_baseline,delta_pp_ttt_vs_baseline,relative_delta_pct_ttt_vs_baseline,fit_seconds_baseline,fit_seconds_ttt,predict_seconds_baseline,predict_seconds_ttt,ttt_applied_ttt,ttt_steps_ttt,ttt_lr_ttt,ttt_loss_ttt,ttt_update_seconds_ttt,n_train_a_ttt,n_train_b_ttt,n_holdout_c_ttt,n_test_d_ttt,ttt_split_strategy_ttt,ttt_split_reason_ttt,error_type_ttt,error_first_line_ttt,dataset_dir
E-CommereShippingData,binclass,8799,1760,2200,10,2,ok,ok,regressed,0.6781818181818182,0.6763636363636364,-0.0018181818181818,-0.181818181818183,-0.26809651474531,0.4323041439056396,92.02002143859865,2.8907456398010254,3.005728006362915,True,9,5e-06,0.5000794660300016,91.9247612953186,8799,6599,2200,2200,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData
Employee,binclass,3722,745,931,8,2,ok,ok,improved,0.8528464017185822,0.8549946294307197,0.0021482277121375,0.2148227712137518,0.2518891687657468,0.3660156726837158,26.46536993980408,0.9537360668182372,0.97179913520813,True,9,5e-06,0.37516556866467,26.415345668792725,3722,2791,931,931,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Employee
FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,ok,ok,tie,0.7448101265822785,0.7448101265822785,0.0,0.0,0.0,0.465599775314331,80.67553353309631,3.1942059993743896,3.050803899765014,True,9,5e-06,0.5310987923294306,80.50378727912903,7896,5922,1974,1975,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned
FOREX_audcad-day-High,binclass,1467,294,367,10,2,ok,ok,improved,0.7438692098092643,0.7520435967302452,0.0081743869209809,0.8174386920980936,1.0989010989011,0.3528389930725097,11.34440279006958,0.4371953010559082,0.4239394664764404,True,9,5e-06,0.5717081911861897,11.312472820281982,1467,1100,367,367,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High
FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,ok,ok,improved,0.7120365088419852,0.7147746719908727,0.0027381631488875,0.2738163148887529,0.3845537574106584,0.6262383460998535,1086.7542698383331,23.19978666305542,23.4400646686554,True,9,5e-06,0.5510919447988272,1086.4484889507294,35060,26295,8765,8765,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High
FOREX_audchf-day-High,binclass,1466,294,367,10,2,ok,ok,regressed,0.7547683923705722,0.7411444141689373,-0.0136239782016349,-1.3623978201634968,-1.8050541516245608,0.3647594451904297,11.687852382659912,0.4128069877624511,0.4203708171844482,True,9,5e-06,0.5291814375668764,11.646945476531982,1466,1099,367,367,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High
FOREX_audjpy-day-High,binclass,1465,293,367,10,2,ok,ok,regressed,0.7656675749318801,0.7547683923705722,-0.0108991825613078,-1.089918256130784,-1.423487544483978,0.3412368297576904,11.408393383026125,0.3927514553070068,0.3633124828338623,True,9,5e-06,0.4951635776087641,11.372560262680054,1465,1098,367,367,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High
FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,ok,ok,improved,0.7086138049058757,0.7245864232743867,0.015972618368511,1.597261836851105,2.254065367895658,0.5928945541381836,1086.2670648097992,23.28204655647278,23.467933893203732,True,9,5e-06,0.5599561501294374,1085.9923453330994,35060,26295,8765,8765,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High
FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,ok,ok,improved,0.6838562464346833,0.7075869937250427,0.0237307472903594,2.37307472903594,3.4701368034701394,0.641925573348999,1086.5302169322968,23.277124166488647,23.25040888786316,True,9,5e-06,0.5735856238752604,1086.184607744217,35060,26295,8765,8765,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High
FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,ok,ok,improved,0.6816885339418141,0.7049629207073588,0.0232743867655447,2.327438676554472,3.414225941422585,0.6303493976593018,1085.8812713623047,23.28602504730225,23.3603515625,True,9,5e-06,0.5748092196881771,1085.548822402954,35060,26295,8765,8765,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High
