dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,status_baseline,status_ttt_step10,bucket_ttt_step10_vs_baseline,accuracy_baseline,accuracy_ttt_step10,delta_ttt_step10_vs_baseline,delta_pp_ttt_step10_vs_baseline,relative_delta_pct_ttt_step10_vs_baseline,fit_seconds_baseline,fit_seconds_ttt_step10,predict_seconds_baseline,predict_seconds_ttt_step10,ttt_applied_ttt_step10,ttt_steps_ttt_step10,ttt_lr_ttt_step10,ttt_loss_ttt_step10,ttt_update_seconds_ttt_step10,n_train_a_ttt_step10,n_train_b_ttt_step10,n_holdout_c_ttt_step10,n_test_d_ttt_step10,ttt_split_strategy_ttt_step10,ttt_split_reason_ttt_step10,error_type_ttt_step10,error_first_line_ttt_step10,dataset_dir
Customer_Personality_Analysis,binclass,1792,359,448,24,2,ok,ok,tie,0.8839285714285714,0.8839285714285714,0.0,0.0,0.0,0.4083352088928222,1.3825695514678955,0.7227966785430908,0.5919582843780518,True,10,2e-06,0.269624799489975,1.319544553756714,1792,1344,448,448,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis
Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,ok,ok,tie,0.7489177489177489,0.7489177489177489,0.0,0.0,0.0,0.3530807495117187,0.8389372825622559,0.6521532535552979,0.5585062503814697,True,10,2e-06,0.5766546726226807,0.7979922294616699,920,690,230,231,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen
E-CommereShippingData,binclass,8799,1760,2200,10,2,ok,ok,regressed,0.6781818181818182,0.6759090909090909,-0.002272727272727315,-0.2272727272727315,-0.3351206434316416,0.4323041439056396,8.610041618347168,2.8907456398010254,2.633472681045532,True,10,2e-06,0.5209206938743591,8.5192711353302,8799,6599,2200,2200,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData
Employee,binclass,3722,745,931,8,2,ok,ok,regressed,0.8528464017185822,0.8517722878625135,-0.0010741138560687036,-0.10741138560687036,-0.12594458438286688,0.3660156726837158,2.4556729793548584,0.9537360668182372,0.8347597122192383,True,10,2e-06,0.4886132180690765,2.408729076385498,3722,2791,931,931,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Employee
FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,ok,ok,regressed,0.7448101265822785,0.7437974683544304,-0.0010126582278481289,-0.10126582278481289,-0.13596193065941906,0.465599775314331,7.693865537643433,3.1942059993743896,2.90926194190979,True,10,2e-06,0.5540485978126526,7.526027679443359,7896,5922,1974,1975,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned
FOREX_audcad-day-High,binclass,1467,294,367,10,2,ok,ok,regressed,0.7438692098092643,0.7411444141689373,-0.0027247956403270157,-0.27247956403270157,-0.3663003663003717,0.3528389930725097,0.9601850509643556,0.4371953010559082,0.3276093006134033,True,10,2e-06,0.5726471543312073,0.9307858943939208,1467,1100,367,367,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High
FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,ok,ok,improved,0.7120365088419852,0.7150028522532801,0.0029663434112948694,0.29663434112948694,0.4165999038615531,0.6262383460998535,101.65281343460084,23.19978666305542,23.13888645172119,True,10,2e-06,0.5518598556518555,101.34116339683531,35060,26295,8765,8765,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High
FOREX_audchf-day-High,binclass,1466,294,367,10,2,ok,ok,regressed,0.7547683923705722,0.7384196185286104,-0.016348773841961872,-1.6348773841961872,-2.166064981949461,0.3647594451904297,0.928910493850708,0.4128069877624511,0.3830976486206054,True,10,2e-06,0.5437480211257935,0.896984338760376,1466,1099,367,367,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High
FOREX_audjpy-day-High,binclass,1465,293,367,10,2,ok,ok,improved,0.7656675749318801,0.771117166212534,0.00544959128065392,0.544959128065392,0.7117437722419889,0.3412368297576904,0.9271697998046876,0.3927514553070068,0.3052589893341064,True,10,2e-06,0.6920716762542725,0.9000444412231445,1465,1098,367,367,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High
FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,ok,ok,improved,0.7086138049058757,0.7087278950370793,0.00011409013120367018,0.011409013120367018,0.016100466913543214,0.5928945541381836,101.4761803150177,23.28204655647278,23.048539638519287,True,10,2e-06,0.6909100413322449,101.19323325157166,35060,26295,8765,8765,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High
