dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_context_selector,ttt_taar_score_source,ttt_taar_selected_context_mean,ttt_taar_selected_context_min,ttt_taar_selected_context_max,ttt_taar_fallback_count,ttt_taar_skip_count,ttt_taar_feature_enabled,ttt_taar_feature_score_source,ttt_taar_selected_feature_mean,ttt_taar_selected_feature_min,ttt_taar_selected_feature_max,ttt_taar_feature_fallback_count
Click_prediction_small,/data0/zhuhao2025/tabiclv2_test/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8335419274092616,0.7625649450583764,0.5094981182677866,0.5970143771139855,0.4463293118733826,637.17724442482,14.483633995056152,ok,,31958,25566,0,7990,0.45578962564468384,48,1e-05,True,637.0122935771942,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,6,epoch_chunk,roc_auc,0.6259131967463027,0.6259131967463027,0.8322903629536921,0.8322903629536921,0,True,False,,taar_sample,attention,2462.1458333333335,315.0,2968.0,0,0,False,,,,,0
Credit_c,/data0/zhuhao2025/tabiclv2_test/data178/Credit_c,multiclass,80000,16000,20000,22,3,0.81855,0.8185514098696635,0.8263726852219944,0.9311084887978703,0.42453305334971375,2053.029340028763,296.6062159538269,ok,,80000,64000,0,20000,0.7131913006305695,104,1e-05,True,2050.555273294449,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,13,epoch_chunk,roc_auc,0.9259059114989651,0.9259059114989651,0.812625,0.812625,0,True,False,,taar_sample,attention,2327.4326923076924,1805.0,2562.0,0,0,False,,,,,0
Customer_Personality_Analysis,/data0/zhuhao2025/tabiclv2_test/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.890625,0.8819285508425728,0.7204332667371802,0.9132095428369961,0.2436454730991126,29.182388305664062,1.099330186843872,ok,,1792,1433,0,448,0.2732251286506653,8,1e-05,True,29.078312397003174,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8802565051177704,0.8802565051177704,0.8913649025069638,0.8913649025069638,0,True,False,,taar_sample,attention,724.0,711.0,738.0,0,0,False,,,,,0
Diabetic_Retinopathy_Debrecen,/data0/zhuhao2025/tabiclv2_test/data178/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7402597402597403,0.739887282528792,0.7380307136404698,0.838452273411623,0.48828637075247705,13.417666912078857,1.6180219650268555,ok,,920,736,0,231,0.4677208364009857,8,1e-05,True,13.347731828689575,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8179876601803513,0.8179876601803513,0.7445652173913043,0.7445652173913043,0,True,False,,taar_sample,attention,413.125,409.0,417.0,0,0,False,,,,,0
E-CommereShippingData,/data0/zhuhao2025/tabiclv2_test/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6772727272727272,0.665211366874681,0.7274321222773565,0.7298157098686193,0.5037299870120678,188.33628630638123,5.223059177398682,ok,,8799,7039,0,2200,0.5089893043041229,18,1e-05,True,188.16829228401184,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.7442977867203221,0.7451951710261568,0.6829545454545455,0.6835227272727272,1,True,False,,taar_sample,attention,2040.2777777777778,1154.0,2955.0,0,0,False,,,,,0
Employee,/data0/zhuhao2025/tabiclv2_test/data178/Employee,binclass,3722,745,931,8,2,0.8592910848549946,0.8525054685391413,0.810195887888707,0.8768233428805238,0.3555141445402871,54.7440402507782,1.5472400188446045,ok,,3722,2977,0,931,0.47312939167022705,8,1e-05,True,54.659443616867065,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8830361707566462,0.8830361707566462,0.8523489932885906,0.8523489932885906,0,True,False,,taar_sample,attention,1550.375,1516.0,1570.0,0,0,False,,,,,0
FICO-HELOC-cleaned,/data0/zhuhao2025/tabiclv2_test/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7549367088607595,0.7546711509554379,0.7537749764770173,0.8264137415306991,0.5123393688624764,186.16689610481262,5.830348253250122,ok,,7896,6316,0,1975,0.5842390358448029,16,1e-05,True,185.8802592754364,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.8069103929536685,0.8069103929536685,0.7493670886075949,0.7493670886075949,0,True,False,,taar_sample,attention,1784.0,738.0,2886.0,0,0,False,,,,,0
FOREX_audcad-day-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7547683923705722,0.7547683923705722,0.7547228657993228,0.834848214816135,0.5022843839866397,36.458722829818726,0.943687915802002,ok,,1467,1173,0,367,0.5586751997470856,19,1e-05,True,36.3972270488739,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.7958805831983337,0.7992362878963203,0.7040816326530612,0.717687074829932,11,True,False,,taar_sample,attention,661.6315789473684,648.0,671.0,0,0,False,,,,,0
FOREX_audcad-hour-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7170564746149458,0.716855308415628,0.7163509676028831,0.7893177748546962,0.5532131832393203,740.8408010005951,50.288413286209106,ok,,35060,28048,0,8765,0.562549889087677,48,1e-05,True,740.3398208618164,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,6,epoch_chunk,roc_auc,0.7930635829207795,0.7930635829207795,0.7164860239589276,0.7164860239589276,0,True,False,,taar_sample,attention,2571.8333333333335,1672.0,2810.0,0,0,False,,,,,0
FOREX_audchf-day-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7493188010899182,0.749274129655601,0.7495692984019486,0.8392888968098379,0.4968636932425303,16.152185201644897,1.0052814483642578,ok,,1466,1172,0,367,0.5607079863548279,8,1e-05,True,16.100667715072632,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.7918768803517705,0.7918768803517705,0.7108843537414966,0.7108843537414966,0,True,False,,taar_sample,attention,653.625,645.0,663.0,0,0,False,,,,,0
FOREX_audjpy-day-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.782016348773842,0.7815679029797274,0.7808394269068426,0.8556566197015636,0.47499177206301574,16.24092149734497,0.9583768844604492,ok,,1465,1172,0,367,0.5538786947727203,8,1e-05,True,16.19559669494629,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8312820512820512,0.8312820512820512,0.7508532423208191,0.7508532423208191,0,True,False,,taar_sample,attention,661.0,653.0,669.0,0,0,False,,,,,0
