dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_gate_d,n_test_e,ttt_loss,ttt_steps,ttt_lr,ttt_update_ran,ttt_gate_passed,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,gate_baseline_accuracy,gate_adapted_accuracy,gate_accuracy_delta,gate_baseline_loss,gate_adapted_loss,gate_loss_delta,ttt_gate_threshold,ttt_gate_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9443088190418065,35.67514681816101,12.112505674362183,ok,,26215,16782,6191,3242,6554,0.2640444040298462,5,5.9243033176607005e-05,True,False,False,21.795862674713135,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.9413942011104257,0.9407772979642196,-0.0006169031462061048,0.1746280573276574,0.18577107008016952,0.011143012752512116,0.0,Gate rejected: gate_accuracy_delta=-0.000617 <= threshold=0.000000
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5837251356238699,90.61293864250183,34.1709566116333,ok,,44236,28318,10447,5471,11060,0.911773681640625,5,5.9243033176607005e-05,True,True,True,59.09839224815369,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.5865472491317858,0.58673003107293,0.00018278194114418334,0.8798057563415964,0.8823738501416243,0.002568093800027871,0.0,Gate passed: gate_accuracy_delta=0.000183 > threshold=0.000000
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.7126865671641791,2.005096435546875,0.2673361301422119,ok,,1072,686,253,133,268,0.4121214747428894,5,5.9243033176607005e-05,True,False,False,0.5755331516265869,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6842105263157895,0.6691729323308271,-0.015037593984962405,0.6178481037436508,0.6598327237609639,0.04198462001731307,0.0,Gate rejected: gate_accuracy_delta=-0.015038 <= threshold=0.000000
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8320400500625782,38.4253568649292,6.978488206863403,ok,,31958,20458,7547,3953,7990,0.4464901089668274,5,5.9243033176607005e-05,True,False,False,31.367064952850342,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.8320263091323046,0.8320263091323046,0.0,0.43839706827037256,0.4375257311379916,-0.0008713371323809671,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7489177489177489,1.9480385780334473,0.5262730121612549,ok,,920,589,217,114,231,0.5594313740730286,5,5.9243033176607005e-05,True,False,False,0.5567224025726318,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7719298245614035,0.7543859649122807,-0.01754385964912275,0.5779516410894914,0.5699474795628696,-0.008004161526621756,0.0,Gate rejected: gate_accuracy_delta=-0.017544 <= threshold=0.000000
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7448101265822785,7.326219081878662,2.919745683670044,ok,,7896,5055,1865,976,1975,0.569993257522583,5,5.9243033176607005e-05,True,False,False,3.121519088745117,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7366803278688525,0.735655737704918,-0.0010245901639345245,0.5293677255609387,0.5289379844177162,-0.0004297411432224729,0.0,Gate rejected: gate_accuracy_delta=-0.001025 <= threshold=0.000000
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7547683923705722,2.147773265838623,0.3422102928161621,ok,,1466,939,346,181,367,0.6482893228530884,5,5.9243033176607005e-05,True,False,False,0.5899925231933594,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7734806629834254,0.712707182320442,-0.06077348066298349,0.5214636123694592,0.5674911352225509,0.04602752285309175,0.0,Gate rejected: gate_accuracy_delta=-0.060773 <= threshold=0.000000
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.6838562464346833,60.24757647514343,23.034345865249634,ok,,35060,22444,8280,4336,8765,0.6819948554039001,5,5.9243033176607005e-05,True,False,False,38.296802043914795,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6796586715867159,0.6526752767527675,-0.026983394833948404,0.5943455437152024,0.6236943680329591,0.02934882431775665,0.0,Gate rejected: gate_accuracy_delta=-0.026983 <= threshold=0.000000
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7007415858528238,60.16973686218262,23.039896488189697,ok,,35060,22444,8280,4336,8765,3.951486825942993,5,5.9243033176607005e-05,True,False,False,38.16276931762695,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6953413284132841,0.6130073800738007,-0.08233394833948338,0.5797073120969239,0.674521875220823,0.09481456312389902,0.0,Gate rejected: gate_accuracy_delta=-0.082334 <= threshold=0.000000
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.66875,2.309055805206299,0.37640380859375,ok,,1280,820,302,158,320,0.5282059907913208,5,5.9243033176607005e-05,True,False,False,0.6090867519378662,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6012658227848101,0.5886075949367089,-0.012658227848101222,0.6909218675855552,0.7116491954168008,0.020727327831245645,0.0,Gate rejected: gate_accuracy_delta=-0.012658 <= threshold=0.000000
