dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error
autoUniv-au4-2500,/data0/zhuhao2025/tabiclv2_test/data178/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.71,2.0019278526306152,3.672607898712158,ok,
bank,/data0/zhuhao2025/tabiclv2_test/data178/bank,binclass,36168,7234,9043,16,2,0.910206789782152,6.630472660064697,103.81376338005066,ok,
baseball,/data0/zhuhao2025/tabiclv2_test/data178/baseball,multiclass,1072,215,268,16,3,0.9477611940298507,0.3918430805206299,0.5089800357818604,ok,
churn,/data0/zhuhao2025/tabiclv2_test/data178/churn,binclass,4000,800,1000,20,2,0.964,0.9220101833343506,2.679107666015625,ok,
company_bankruptcy_prediction,/data0/zhuhao2025/tabiclv2_test/data178/company_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.9714076246334311,20.288915634155273,24.24532985687256,ok,
contraceptive_method_choice,/data0/zhuhao2025/tabiclv2_test/data178/contraceptive_method_choice,multiclass,1178,236,295,9,3,0.6271186440677966,0.4430816173553467,0.4446132183074951,ok,
customer_satisfaction_in_airline,/data0/zhuhao2025/tabiclv2_test/data178/customer_satisfaction_in_airline,binclass,103904,20781,25976,21,2,0.9531490606713889,15.806825399398804,934.6782119274139,ok,
default_of_credit_card_clients,/data0/zhuhao2025/tabiclv2_test/data178/default_of_credit_card_clients,binclass,24000,4800,6000,23,2,0.8261666666666667,7.203364849090576,67.30088758468628,ok,
dis,/data0/zhuhao2025/tabiclv2_test/data178/dis,binclass,3017,604,755,29,2,0.9894039735099338,0.7295494079589844,1.797623872756958,ok,
drug_consumption,/data0/zhuhao2025/tabiclv2_test/data178/drug_consumption,multiclass,1507,302,377,12,7,0.40318302387267907,0.371218204498291,0.5816564559936523,ok,
eeg-eye-state,/data0/zhuhao2025/tabiclv2_test/data178/eeg-eye-state,binclass,11984,2397,2996,14,2,0.9886515353805073,1.7053468227386475,13.740673542022705,ok,
estimation_of_obesity_levels,/data0/zhuhao2025/tabiclv2_test/data178/estimation_of_obesity_levels,multiclass,1688,338,423,16,7,0.9929078014184397,0.46381640434265137,0.793339729309082,ok,
eye_movements_bin,/data0/zhuhao2025/tabiclv2_test/data178/eye_movements_bin,binclass,6086,1218,1522,20,2,0.735873850197109,1.1988308429718018,5.682509183883667,ok,
gas-drift,/data0/zhuhao2025/tabiclv2_test/data178/gas-drift,multiclass,11128,2226,2782,128,6,0.9953271028037384,28.822908639907837,96.86322021484375,ok,
