dataset_name,group,winner,task_type_iclv2_ensmble32,n_train_iclv2_ensmble32,n_val_iclv2_ensmble32,n_test_compare,n_features_iclv2_ensmble32,n_classes_iclv2_ensmble32,acc_iclv2_ensmble32,acc_ttt_step8,delta_ttt_minus_iclv2,delta_pp,delta_correct_est,fit_seconds_iclv2_ensmble32,predict_seconds_iclv2_ensmble32,total_seconds_iclv2_ensmble32,fit_seconds_ttt_step8,predict_seconds_ttt_step8,ttt_update_seconds,total_seconds_ttt_step8,ttt_applied,ttt_steps,ttt_lr,ttt_loss,ttt_split_strategy,ttt_split_reason,ttt_execution_group,change_strength,dataset_dir_iclv2_ensmble32,dataset_dir_ttt_step8
mfeat-fourier,TTT step8更高,ttt_step8,multiclass,1600,320,400,76,10,0.9225,0.9325,0.010000000000000009,1.0000000000000009,4.0000000000000036,0.4791357517242431,1.4284186363220217,1.9075543880462649,16.670446634292603,1.5172934532165527,16.524283409118652,18.187740087509155,True,8,5e-06,0.2311053965240717,stratified,stratified split,TTT执行,strong_gain_>=1pp,/home/crc00006699/zh/tabiclv2/data178/mfeat-fourier,/home/crc00006699/zh/tabiclv2/data178/mfeat-fourier
ada_prior,TTT step8更高,ttt_step8,binclass,3649,730,913,14,2,0.8554216867469879,0.8619934282584885,0.006571741511500528,0.6571741511500528,5.999999999999982,0.418839693069458,1.681386947631836,2.100226640701294,25.185532331466675,1.411613941192627,25.11153531074524,26.5971462726593,True,8,5e-06,0.3198757506906986,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/ada_prior,/home/crc00006699/zh/tabiclv2/data178/ada_prior
waveform-5000,TTT step8更高,ttt_step8,multiclass,4000,800,1000,40,3,0.865,0.871,0.006000000000000005,0.6000000000000005,6.000000000000005,0.5685241222381592,2.210875988006592,2.779400110244751,32.31106424331665,2.2933506965637207,32.16428470611572,34.60441493988037,True,8,5e-06,0.2694925805553794,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/waveform-5000,/home/crc00006699/zh/tabiclv2/data178/waveform-5000
Firm-Teacher_Clave-Direction_Classification,TTT step8更高,ttt_step8,multiclass,8640,1728,2160,16,4,0.8791666666666667,0.8847222222222222,0.005555555555555536,0.5555555555555536,11.999999999999957,0.527306079864502,3.5329301357269287,4.060236215591431,83.70506882667542,3.710503339767456,83.53600549697876,87.41557216644287,True,8,5e-06,0.340350853279233,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification
satimage,TTT step8更高,ttt_step8,multiclass,5144,1029,1286,36,6,0.9416796267496113,0.9471228615863142,0.005443234836702948,0.5443234836702948,6.999999999999991,0.4936060905456543,2.637812376022339,3.131418466567993,42.478880643844604,2.8082754611968994,42.31196928024292,45.287156105041504,True,8,5e-06,0.1698165773414075,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/satimage,/home/crc00006699/zh/tabiclv2/data178/satimage
mfeat-zernike,TTT step8更高,ttt_step8,multiclass,1600,320,400,47,10,0.8975,0.9025,0.0050000000000000044,0.5000000000000004,2.0000000000000018,0.5212619304656982,1.0333726406097412,1.5546345710754395,13.935220956802368,1.1202948093414309,13.827363014221191,15.055515766143799,True,8,5e-06,0.1937512415461242,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/mfeat-zernike,/home/crc00006699/zh/tabiclv2/data178/mfeat-zernike
maternal_health_risk,TTT step8更高,ttt_step8,multiclass,811,163,203,6,3,0.8719211822660099,0.8768472906403941,0.0049261083743842304,0.49261083743842304,0.9999999999999988,0.3908009529113769,0.64375901222229,1.034559965133667,11.145857572555542,0.6168191432952881,11.118069887161257,11.76267671585083,True,8,5e-06,0.4083664258942008,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/maternal_health_risk,/home/crc00006699/zh/tabiclv2/data178/maternal_health_risk
abalone,TTT step8更高,ttt_step8,multiclass,3341,669,836,8,3,0.6399521531100478,0.6447368421052632,0.004784688995215336,0.4784688995215336,4.000000000000021,0.3898584842681885,1.0417261123657229,1.4315845966339114,21.329675912857056,1.1288626194000244,21.28067445755005,22.45853853225708,True,8,5e-06,0.6614138185977936,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/abalone,/home/crc00006699/zh/tabiclv2/data178/abalone
QSAR_biodegradation,TTT step8更高,ttt_step8,binclass,843,169,211,41,2,0.8909952606635071,0.8957345971563981,0.004739336492891044,0.4739336492891044,1.0000000000000102,0.4419679641723633,1.2219810485839844,1.6639490127563477,11.424556016921995,1.2547035217285156,11.309433460235596,12.679259538650511,True,8,5e-06,0.253353837877512,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data178/QSAR_biodegradation
qsar,TTT step8更高,ttt_step8,binclass,844,169,211,40,2,0.9004739336492891,0.90521327014218,0.004739336492890933,0.4739336492890933,0.9999999999999869,0.4039528369903564,1.203298568725586,1.6072514057159424,11.59803581237793,1.1602990627288818,11.517936706542969,12.758334875106812,True,8,5e-06,0.2824290236458182,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/qsar,/home/crc00006699/zh/tabiclv2/data178/qsar
