dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_gate_d,n_test_e,ttt_loss,ttt_steps,ttt_lr,ttt_update_ran,ttt_gate_passed,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,gate_baseline_accuracy,gate_adapted_accuracy,gate_accuracy_delta,gate_baseline_loss,gate_adapted_loss,gate_loss_delta,ttt_gate_threshold,ttt_gate_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9436985047299359,19.32345676422119,11.848011255264282,ok,,26215,17907,6169,2139,6554,0.2157621532678604,1,2.4222614391198696e-05,True,True,True,5.386541843414307,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.9453015427769986,0.946236559139785,0.0009350163627863672,0.1647094357762601,0.1662185725298719,0.001509136753611806,0.0,Gate passed: gate_accuracy_delta=0.000935 > threshold=0.000000
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.58625678119349,47.432915449142456,34.40896487236023,ok,,44236,30217,10409,3610,11060,0.915277898311615,1,2.4222614391198696e-05,True,False,False,13.812706232070923,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.5670360110803324,0.5664819944598338,-0.0005540166204985875,0.9011770747194445,0.9027401349642895,0.0015630602448449826,0.0,Gate rejected: gate_accuracy_delta=-0.000554 <= threshold=0.000000
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.7126865671641791,1.861715316772461,0.28210902214050293,ok,,1072,732,252,88,268,0.5891436338424683,1,2.4222614391198696e-05,True,False,False,0.414020299911499,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6363636363636364,0.6363636363636364,0.0,0.6010715440922278,0.5989221218852238,-0.0021494222070040925,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8320400500625782,14.643534183502197,6.992032766342163,ok,,31958,21830,7520,2608,7990,0.4425927996635437,1,2.4222614391198696e-05,True,False,False,7.27157187461853,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.8316717791411042,0.8312883435582822,-0.0003834355828220559,0.43643512010479796,0.43564220346409255,-0.00079291664070541,0.0,Gate rejected: gate_accuracy_delta=-0.000383 <= threshold=0.000000
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7489177489177489,1.8138248920440674,0.5226931571960449,ok,,920,628,217,75,231,0.6588965058326721,1,2.4222614391198696e-05,True,False,False,0.4068770408630371,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7733333333333333,0.7733333333333333,0.0,0.5100295711590608,0.501824177382873,-0.008205393776187786,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7458227848101265,4.9206883907318115,2.7973828315734863,ok,,7896,5394,1858,644,1975,0.5875638127326965,1,2.4222614391198696e-05,True,True,True,1.0598299503326416,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7422360248447205,0.7437888198757764,0.0015527950310558758,0.5119841310581029,0.5123376155871148,0.00035348452901184935,0.0,Gate passed: gate_accuracy_delta=0.001553 > threshold=0.000000
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7547683923705722,2.1453285217285156,0.35692286491394043,ok,,1466,1001,345,120,367,0.6005203723907471,1,2.4222614391198696e-05,True,False,False,0.3965444564819336,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7,0.6916666666666667,-0.008333333333333304,0.6139058331804085,0.6145860007807797,0.000680167600371262,0.0,Gate rejected: gate_accuracy_delta=-0.008333 <= threshold=0.000000
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.6929834569309755,31.743719816207886,22.93794870376587,ok,,35060,23949,8250,2861,8765,0.6311227679252625,1,2.4222614391198696e-05,True,True,True,8.933345079421997,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6857742048234883,0.693813351974834,0.008039147151345682,0.5892263563413658,0.5780260438496952,-0.011200312491670528,0.0,Gate passed: gate_accuracy_delta=0.008039 > threshold=0.000000
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7007415858528238,32.16101431846619,23.249348402023315,ok,,35060,23949,8250,2861,8765,0.6904966235160828,1,2.4222614391198696e-05,True,False,False,8.898754119873047,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6924152394267739,0.6910171268787137,-0.0013981125480601042,0.5841637693825728,0.5840491188729874,-0.00011465050958536782,0.0,Gate rejected: gate_accuracy_delta=-0.001398 <= threshold=0.000000
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.66875,2.1883907318115234,0.4015669822692871,ok,,1280,874,301,105,320,0.6379640102386475,1,2.4222614391198696e-05,True,False,False,0.4374542236328125,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6285714285714286,0.6285714285714286,0.0,0.641111612513258,0.6402262863928213,-0.0008853261204366802,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
