dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Credit_c,/home/crc00006699/zh/tabiclv2/data178/Credit_c,multiclass,80000,16000,20000,22,3,0.82095,0.8209020879322274,0.8347819621770226,0.9325832655665872,0.4139023909501131,525.1858155727386,116.82571601867676,ok,,80000,64000,0,20000,0.6273970007896423,196,1e-05,True,523.6956560611725,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,7,epoch_chunk,roc_auc,0.9259133161803352,0.930034004365829,0.812875,0.8234375,20,True,False,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8928571428571429,0.8848287598792377,0.7278959533043444,0.9132487170446978,0.2437763592344614,6.328336000442505,0.7953402996063232,ok,,1792,1433,0,448,0.2042217254638672,10,1e-05,True,6.263239145278931,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8795474164508571,0.8800098655814528,0.8913649025069638,0.8941504178272981,2,True,False,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7272727272727273,0.7269950480539316,0.7252710027100271,0.8413881361035832,0.4963360141112762,8.1948721408844,0.9021172523498536,ok,,920,736,0,231,0.5003272891044617,20,1e-05,True,8.151319026947021,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8179876601803513,0.8291409587090651,0.7445652173913043,0.7608695652173914,12,True,False,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6763636363636364,0.6643989307797264,0.7263047265614603,0.7302141193219139,0.5037008522350079,13.798628568649292,3.168986320495605,ok,,8799,7039,0,2200,0.4961567521095276,8,1e-05,True,13.707079887390137,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.7443400402414486,0.7443400402414486,0.6823863636363636,0.6823863636363636,0,True,False,
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,binclass,3722,745,931,8,2,0.8571428571428571,0.8512330447399785,0.8115359042553192,0.8836385024549918,0.3519753837154741,19.846791744232178,1.1541833877563477,ok,,3722,2977,0,931,0.3565750420093536,30,1e-05,True,19.7987539768219,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8829083588957055,0.8895106403374233,0.8523489932885906,0.8483221476510067,25,False,False,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7478481012658228,0.7475944834431004,0.7467160272661157,0.8256844263473841,0.5135238209434383,29.84642505645752,3.5937156677246094,ok,,7896,6316,0,1975,0.5501158833503723,16,1e-05,True,29.679129362106323,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8069288497711355,0.8072739120107338,0.7487341772151899,0.7430379746835443,8,True,False,
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7547683923705722,0.7547428929461306,0.754648606903107,0.8315956751618844,0.5067577745561708,4.879014253616333,0.5395162105560303,ok,,1467,1173,0,367,0.502776563167572,11,1e-05,True,4.841969966888428,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.7950011571395511,0.7968757232122194,0.7108843537414966,0.7108843537414966,3,True,False,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7153451226468911,0.7152997997969825,0.7149629120562733,0.7904254990960299,0.551418082815335,94.91067051887512,24.704962491989136,ok,,35060,28048,0,8765,0.5486090779304504,45,1e-05,True,94.59619903564452,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.7929345262565985,0.7954045568157512,0.7154877353108956,0.7171990872789503,7,True,False,
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7493188010899182,0.7493076338946711,0.7494950395057328,0.8393186003683241,0.4969293944762287,5.943689346313477,0.5287985801696777,ok,,1466,1172,0,367,0.507294237613678,13,1e-05,True,5.908594846725464,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.7934968757232121,0.7946077296922007,0.7108843537414966,0.7142857142857143,5,True,False,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.784741144414169,0.7843529871692693,0.7836484156708876,0.8545568039950062,0.4779773935283937,7.372165679931641,0.6041548252105713,ok,,1465,1172,0,367,0.6026027798652649,17,1e-05,True,7.339414596557617,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8309090909090909,0.8374592074592074,0.7508532423208191,0.7542662116040956,9,True,False,
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7226468910439247,0.7226478377577257,0.7224003797172696,0.8013075867264469,0.5395295546399607,107.27595067024232,24.730113983154297,ok,,35060,28048,0,8765,0.5322438478469849,51,1e-05,True,106.98905372619627,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.7906073856623042,0.7924514927964807,0.7183399885909869,0.7136337706788363,9,True,False,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7116942384483742,0.7117385439509797,0.7116413601662905,0.7886960633128388,0.5529508672680582,108.7659842967987,24.73375010490417,ok,,35060,28048,0,8765,0.5689664483070374,51,1e-05,True,108.42542052268982,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.7774450395707273,0.7914857939553768,0.7007986309184255,0.7139189960068454,9,True,False,
