dataset_name,compare_result,accuracy_ttt,accuracy_baseline,delta_accuracy,delta_pp,n_features_data178,n_total_data178,train_size_data178,val_size_data178,test_size_data178,n_num_features_data178,n_cat_features_data178,n_classes,task_type,ttt_applied,ttt_steps,ttt_oom_fallback
rice_cammeo_and_osmancik,declined,0.9251968503937008,0.9304461942257218,-0.005249343832021025,-0.5249343832021025,7,3810,2438,610,762,7,0,,binclass,True,8,False
sports_articles_for_objectivity_analysis,declined,0.85,0.855,-0.0050000000000000044,-0.5000000000000004,59,1000,640,160,200,57,2,,binclass,True,8,False
KDDCup09_upselling,declined,0.8079922027290448,0.8128654970760234,-0.004873294346978585,-0.4873294346978585,49,5128,3281,821,1026,34,15,2.0,binclass,True,8,False
PizzaCutter3,declined,0.8803827751196173,0.8851674641148325,-0.004784688995215225,-0.4784688995215225,37,1043,667,167,209,37,0,2.0,binclass,True,8,False
in_vehicle_coupon_recommendation,declined,0.7757193535672053,0.780449349625542,-0.004729996058336683,-0.4729996058336683,21,12684,8117,2030,2537,0,21,,binclass,True,8,False
golf_play_dataset_extended,declined,0.9360730593607306,0.9406392694063926,-0.004566210045662045,-0.45662100456620447,9,1095,700,176,219,3,6,,binclass,True,8,False
churn,declined,0.965,0.969,-0.0040000000000000036,-0.40000000000000036,20,5000,3200,800,1000,16,4,2.0,binclass,True,8,False
heloc,declined,0.727,0.731,-0.0040000000000000036,-0.40000000000000036,22,10000,6400,1600,2000,22,0,2.0,binclass,True,8,False
FOREX_audcad-hour-High,declined,0.711123787792356,0.7151169423844838,-0.00399315459212779,-0.399315459212779,10,43825,28048,7012,8765,10,0,2.0,binclass,True,16,False
yeast,declined,0.6195286195286195,0.622895622895623,-0.0033670033670034627,-0.33670033670034627,8,1484,949,238,297,8,0,10.0,multiclass,True,8,False
ada_prior,declined,0.8499452354874042,0.8532311062431545,-0.003285870755750264,-0.3285870755750264,14,4562,2919,730,913,6,8,2.0,binclass,True,8,False
one-hundred-plants-shape,declined,0.8125,0.815625,-0.0031250000000000444,-0.31250000000000444,64,1600,1024,256,320,64,0,100.0,multiclass,False,0,False
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,declined,0.675,0.678125,-0.0031249999999999334,-0.31249999999999334,20,1600,1024,256,320,0,20,2.0,binclass,True,8,False
led7,declined,0.7375,0.740625,-0.0031249999999999334,-0.31249999999999334,7,3200,2048,512,640,0,7,10.0,multiclass,True,8,False
MIC,declined,0.9,0.9030303030303032,-0.003030303030303161,-0.3030303030303161,104,1649,1055,264,330,9,95,2.0,binclass,True,8,False
car-evaluation,declined,0.9971098265895952,1.0,-0.0028901734104047616,-0.28901734104047616,21,1728,1105,277,346,0,21,4.0,multiclass,True,8,False
phoneme,declined,0.901017576318224,0.9037927844588344,-0.0027752081406103857,-0.27752081406103857,5,5404,3458,865,1081,5,0,2.0,binclass,True,8,False
optdigits,declined,0.9955516014234876,0.998220640569395,-0.002669039145907326,-0.2669039145907326,64,5620,3596,900,1124,64,0,10.0,multiclass,True,8,False
allbp,declined,0.9748344370860929,0.9774834437086092,-0.0026490066225163256,-0.26490066225163256,29,3772,2413,604,755,6,23,3.0,multiclass,True,8,False
turiye_student_evaluation,declined,0.5197594501718213,0.5223367697594502,-0.002577319587628857,-0.2577319587628857,32,5820,3724,932,1164,30,2,,multiclass,True,8,False
mfeat-pixel,declined,0.97,0.9725,-0.0025000000000000577,-0.2500000000000058,240,2000,1280,320,400,0,240,10.0,multiclass,True,8,False
mfeat-karhunen,declined,0.9725,0.975,-0.0024999999999999467,-0.24999999999999467,64,2000,1280,320,400,64,0,10.0,multiclass,True,8,False
BNG(cmc),declined,0.58625678119349,0.5886075949367089,-0.0023508137432188825,-0.23508137432188825,9,55296,35388,8848,11060,2,7,3.0,multiclass,True,16,False
satimage,declined,0.9362363919129082,0.9385692068429238,-0.002332814930015581,-0.2332814930015581,36,6430,4115,1029,1286,36,0,6.0,multiclass,True,8,False
Customer_Personality_Analysis,declined,0.890625,0.8928571428571429,-0.0022321428571429047,-0.22321428571429047,24,2240,1433,359,448,22,2,,binclass,True,8,False
Wilt,declined,0.9917098445595854,0.9937823834196892,-0.002072538860103723,-0.2072538860103723,5,4821,3084,772,965,5,0,,binclass,True,8,False
FICO-HELOC-cleaned,declined,0.7458227848101265,0.7478481012658228,-0.0020253164556962577,-0.20253164556962577,23,9871,6316,1580,1975,21,2,2.0,binclass,True,8,False
Pumpkin_Seeds,declined,0.884,0.886,-0.0020000000000000018,-0.20000000000000018,12,2500,1600,400,500,12,0,,binclass,True,8,False
water_quality,declined,0.905625,0.9075,-0.00187499999999996,-0.187499999999996,20,7996,5116,1280,1600,20,0,,binclass,True,8,False
HR_Analytics_Job_Change_of_Data_Scientists,declined,0.8016701461377871,0.8034968684759917,-0.0018267223382045783,-0.18267223382045783,13,19158,12260,3066,3832,3,10,,binclass,True,8,False
PhishingWebsites,declined,0.9778380823156942,0.9796472184531886,-0.0018091361374943382,-0.18091361374943382,30,11055,7075,1769,2211,0,30,2.0,binclass,True,8,False
Rain_in_Australia,declined,0.8597896328887666,0.8615083184380585,-0.0017186855492918873,-0.17186855492918873,18,145460,93094,23274,29092,12,6,,multiclass,True,40,False
splice,declined,0.957680250783699,0.9592476489028212,-0.0015673981191222097,-0.15673981191222097,60,3190,2041,511,638,0,60,3.0,multiclass,True,8,False
INNHotelsGroup,declined,0.9003445899379738,0.9018607856650586,-0.0015161957270847237,-0.15161957270847237,17,36275,23216,5804,7255,11,6,,binclass,True,16,False
customer_satisfaction_in_airline,declined,0.9636972590083154,0.9648906683092086,-0.0011934093008931779,-0.11934093008931779,21,129880,83123,20781,25976,4,17,,binclass,True,40,False
Cardiovascular-Disease-dataset,declined,0.7328571428571429,0.7339285714285714,-0.001071428571428501,-0.1071428571428501,11,70000,44800,11200,14000,5,6,2.0,binclass,True,24,False
Bank_Customer_Churn_Dataset,declined,0.877,0.878,-0.0010000000000000009,-0.10000000000000009,10,10000,6400,1600,2000,6,4,,binclass,True,8,False
waveform-5000,declined,0.87,0.871,-0.0010000000000000009,-0.10000000000000009,40,5000,3200,800,1000,40,0,3.0,multiclass,True,8,False
Satellite,declined,0.992156862745098,0.9931372549019608,-0.0009803921568628526,-0.09803921568628526,36,5100,3264,816,1020,36,0,2.0,binclass,True,8,False
company_bankruptcy_prediction,declined,0.9706744868035192,0.9714076246334312,-0.0007331378299120228,-0.07331378299120228,95,6819,4364,1091,1364,93,2,,binclass,True,8,False
thyroid,declined,0.9930555555555556,0.99375,-0.000694444444444442,-0.0694444444444442,21,7200,4608,1152,1440,21,0,,multiclass,True,8,False
eeg-eye-state,declined,0.9933244325767692,0.9939919893190922,-0.0006675567423229944,-0.06675567423229944,14,14980,9587,2397,2996,14,0,2.0,binclass,True,8,False
SDSS17,declined,0.9768,0.97745,-0.0006500000000000394,-0.06500000000000394,12,100000,64000,16000,20000,8,4,,multiclass,True,32,False
okcupid_stem,declined,0.7494377811094453,0.75,-0.0005622188905547443,-0.05622188905547443,13,26677,17072,4269,5336,2,11,3.0,multiclass,True,8,False
htru,declined,0.979050279329609,0.979608938547486,-0.0005586592178770111,-0.05586592178770111,8,17898,11454,2864,3580,8,0,,binclass,True,8,False
JapaneseVowels,declined,0.9989964877069744,0.9994982438534872,-0.0005017561465128217,-0.050175614651282174,14,9961,6374,1594,1993,14,0,9.0,multiclass,True,8,False
Amazon_employee_access,declined,0.9429356118400976,0.9433933475740006,-0.0004577357339030641,-0.04577357339030641,7,32769,20972,5243,6554,0,7,2.0,binclass,True,16,False
dabetes_130-us_hospitals,declined,0.6453768301071042,0.6457698732435885,-0.00039304313648425016,-0.039304313648425016,20,101766,65129,16283,20354,8,12,,binclass,True,32,False
mobile_c36_oversampling,declined,0.9940108191653788,0.9943972179289028,-0.0003863987635239763,-0.03863987635239763,6,51760,33126,8282,10352,6,0,,binclass,True,16,False
Click_prediction_small,declined,0.8330413016270338,0.8334167709637046,-0.000375469336670764,-0.0375469336670764,3,39948,25566,6392,7990,3,0,,binclass,True,16,False
gas-drift,declined,0.9960460100647016,0.9964054636951832,-0.00035945363048162093,-0.03594536304816209,128,13910,8902,2226,2782,128,0,6.0,multiclass,True,8,False
letter,declined,0.99025,0.9905,-0.0002500000000000835,-0.02500000000000835,15,20000,12800,3200,4000,15,0,26.0,multiclass,False,0,False
internet_firewall,declined,0.9308766308079652,0.9310292210269322,-0.00015259021896696368,-0.015259021896696368,7,65532,41940,10485,13107,7,0,,multiclass,True,24,False
bank,improved,0.9117549485790114,0.9116443658078072,0.00011058277120423732,0.011058277120423732,16,45211,28934,7234,9043,7,9,,binclass,True,16,False
shuttle,improved,0.9995689655172414,0.999396551724138,0.00017241379310339866,0.017241379310339866,9,58000,37120,9280,11600,9,0,7.0,multiclass,True,16,False
dry_bean_dataset,improved,0.9280205655526992,0.927653323540213,0.0003672420124861686,0.03672420124861686,16,13611,8710,2178,2723,16,0,,multiclass,True,8,False
BNG(breast-w),improved,0.9885699771399544,0.9881889763779528,0.0003810007620016487,0.03810007620016487,9,39366,25193,6299,7874,9,0,2.0,binclass,True,16,False
walking-activity,improved,0.6802156225934979,0.6798138413633776,0.00040178123012024614,0.040178123012024614,4,149332,95572,23893,29867,4,0,22.0,multiclass,False,0,False
mammography,improved,0.9892713455520786,0.9888243182834152,0.0004470272686634136,0.04470272686634136,6,11183,7156,1790,2237,6,0,2.0,binclass,True,8,False
mozilla4,improved,0.9388871019620456,0.9382438082984884,0.0006432936635571984,0.06432936635571984,4,15545,9948,2488,3109,4,0,2.0,binclass,True,8,False
taiwanese_bankruptcy_prediction,improved,0.9728739002932552,0.9721407624633432,0.0007331378299119118,0.07331378299119118,95,6819,4364,1091,1364,95,0,,binclass,True,8,False
pendigits,improved,0.9977262391996362,0.9968167348794906,0.0009095043201455821,0.09095043201455821,16,10992,7034,1759,2199,16,0,10.0,multiclass,True,8,False
California-Housing-Classification,improved,0.9205426356589148,0.9195736434108528,0.0009689922480620172,0.09689922480620172,8,20640,13209,3303,4128,8,0,2.0,binclass,True,8,False
pol,improved,0.9920674268715914,0.9910758552305404,0.0009915716410510145,0.09915716410510145,26,10082,6452,1613,2017,26,0,2.0,binclass,True,8,False
naticusdroid+android+permissions+dataset,improved,0.9730697119481848,0.97204704278166,0.0010226691665248255,0.10226691665248255,86,29332,18772,4693,5867,0,86,,binclass,True,8,False
Gender_Gap_in_Spanish_WP,improved,0.6031578947368421,0.6021052631578947,0.001052631578947416,0.10526315789474161,13,4746,3036,760,950,13,0,,multiclass,True,8,False
kropt,improved,0.9253385602280828,0.9242694226657164,0.0010691375623663735,0.10691375623663735,6,28056,17955,4489,5612,0,6,18.0,multiclass,False,0,False
default_of_credit_card_clients,improved,0.8276666666666667,0.8265,0.0011666666666666492,0.11666666666666492,23,30000,19200,4800,6000,14,9,,binclass,True,8,False
dis,improved,0.990728476821192,0.9894039735099338,0.0013245033112582183,0.13245033112582183,29,3772,2413,604,755,6,23,2.0,binclass,True,8,False
twonorm,improved,0.979054054054054,0.9777027027027028,0.0013513513513512265,0.13513513513512265,20,7400,4736,1184,1480,20,0,2.0,binclass,True,8,False
led24,improved,0.734375,0.7328125,0.0015625000000000222,0.15625000000000222,24,3200,2048,512,640,0,24,10.0,multiclass,True,8,False
