dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,roc_auc,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_roc_auc,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
MagicTelescope,/home/crc00006699/zh/tabiclv2/data178/MagicTelescope,binclass,15216,3044,3804,9,2,0.852260778128286,0.8544377744295277,0.9380728884427618,23.88668727874756,9.464067220687866,ok,,15216,12172,0,3804,,8,1e-05,True,23.886370420455933,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data178/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8377192982456141,0.7870037233406734,0.7772810186344289,8.451038837432861,1.913167715072632,ok,,1822,1457,0,456,,8,1e-05,True,8.450602293014526,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data178/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7597402597402597,0.7539924190641895,0.8672222222222222,7.859243154525757,1.823172092437744,ok,,614,491,0,154,,8,1e-05,True,7.858808755874634,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data178/QSAR_biodegradation,binclass,843,169,211,41,2,0.8862559241706162,0.8854084739220404,0.9359154929577465,8.634487390518188,1.8636300563812256,ok,,843,674,0,211,,8,1e-05,True,8.634095907211304,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
Satellite,/home/crc00006699/zh/tabiclv2/data178/Satellite,binclass,4080,816,1020,36,2,0.992156862745098,0.9907463841469554,0.9930348258706468,11.641374826431274,4.229186058044434,ok,,4080,3264,0,1020,,8,1e-05,True,11.641053438186646,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/data178/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.649390243902439,0.6142364987237104,0.6678515625,11.269240140914915,3.027344226837158,ok,,2620,2096,0,656,,8,1e-05,True,11.268406629562378,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
accelerometer,/home/crc00006699/zh/tabiclv2/data178/accelerometer,multiclass,0,0,0,0,0,,,,0.0,0.0,fail,"ValueError: could not broadcast input array from shape (4,) into shape (3,)",0,0,0,0,,0,,False,0.0,,,0,0,,,,0,False,False,
ada_prior,/home/crc00006699/zh/tabiclv2/data178/ada_prior,binclass,3649,730,913,14,2,0.8499452354874042,0.8418319859884543,0.8894119006948279,9.825496435165403,2.632249116897583,ok,,3649,2919,0,913,,8,1e-05,True,9.825100898742676,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
allrep,/home/crc00006699/zh/tabiclv2/data178/allrep,multiclass,3017,604,755,29,4,0.9827814569536424,0.9827450794828768,0.996927279456238,11.33998727798462,3.63472580909729,ok,,3017,2413,0,755,,8,1e-05,True,11.339653968811035,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
autoUniv-au4-2500,/home/crc00006699/zh/tabiclv2/data178/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.698,0.6692467507694976,0.7541651470837971,15.709548950195312,7.036449909210205,ok,,2000,1600,0,500,,8,1e-05,True,15.709174633026125,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
banknote_authentication,/home/crc00006699/zh/tabiclv2/data178/banknote_authentication,binclass,1097,220,275,4,2,0.5163636363636364,0.4534828183651685,0.5053573341905068,8.081533193588257,1.8000853061676023,ok,,1097,877,0,275,,8,1e-05,True,8.08121371269226,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
churn,/home/crc00006699/zh/tabiclv2/data178/churn,binclass,4000,800,1000,20,2,0.965,0.963927163436807,0.9409754043543952,10.170852899551392,3.1241323947906494,ok,,4000,3200,0,1000,,8,1e-05,True,10.170517921447754,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
compass,/home/crc00006699/zh/tabiclv2/data178/compass,binclass,13315,2663,3329,17,2,0.8522078702313007,0.8521814602392084,0.9280484811734812,24.468658685684204,9.089057683944702,ok,,13315,10652,0,3329,,8,1e-05,True,24.468271017074585,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
customer_satisfaction_in_airline,/home/crc00006699/zh/tabiclv2/data178/customer_satisfaction_in_airline,binclass,103904,20781,25976,21,2,0.9636972590083154,0.9637467519134908,0.995584997360563,259.0885157585144,125.63195872306824,ok,,103904,83123,0,25976,,40,1e-05,True,259.0881130695343,tabpfn_finetune_epoch_chunks,dataset_val_split,8,5,tabpfn_finetuning_api,,,0,False,False,
delta_ailerons,/home/crc00006699/zh/tabiclv2/data178/delta_ailerons,binclass,5703,1141,1426,5,2,0.9523141654978962,0.9523257413742612,0.9830875950026952,11.85283136367798,2.8100359439849854,ok,,5703,4562,0,1426,,8,1e-05,True,11.852054357528688,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
drug_consumption,/home/crc00006699/zh/tabiclv2/data178/drug_consumption,multiclass,1507,302,377,12,7,0.403183023872679,0.2316968605998004,0.4601921811704982,8.217451572418213,1.7892889976501465,ok,,1507,1205,0,377,,8,1e-05,True,8.217142105102539,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
electricity,/home/crc00006699/zh/tabiclv2/data178/electricity,binclass,36249,7250,9063,8,2,0.8992607304424584,0.8990419151315254,0.964466804735261,63.88660669326782,35.9858193397522,ok,,36249,28999,0,9063,,16,1e-05,True,63.88623476028442,tabpfn_finetune_epoch_chunks,dataset_val_split,8,2,tabpfn_finetuning_api,,,0,False,False,
eye_movements_bin,/home/crc00006699/zh/tabiclv2/data178/eye_movements_bin,binclass,6086,1218,1522,20,2,0.7063074901445466,0.7062150357010997,0.7889007651250775,11.71958303451538,4.26380181312561,ok,,6086,4868,0,1522,,8,1e-05,True,11.719133615493774,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
gina_agnostic,/home/crc00006699/zh/tabiclv2/data178/gina_agnostic,binclass,2774,555,694,970,2,0.9639769452449568,0.9639795632701867,0.9930632284648552,665.2301843166351,33.25750923156738,ok,,2774,2219,0,694,,8,1e-05,True,665.2298409938812,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
hill-valley,/home/crc00006699/zh/tabiclv2/data178/hill-valley,binclass,969,194,243,100,2,0.8724279835390947,0.8702470022322577,0.9782549790001356,11.053378343582152,2.4631130695343018,ok,,969,775,0,243,,8,1e-05,True,11.052951335906982,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
ibm-employee-performance,/home/crc00006699/zh/tabiclv2/data178/ibm-employee-performance,binclass,1176,236,294,30,2,1.0,1.0,1.0,9.061239242553713,1.8638274669647217,ok,,1176,940,0,294,,8,1e-05,True,9.06075954437256,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
internet_usage,/home/crc00006699/zh/tabiclv2/data178/internet_usage,multiclass,8086,1618,2022,70,46,0.5484668644906033,0.4684053637964586,0.9431987795772732,0.0467281341552734,684.8620946407318,ok,,8086,0,0,2022,,0,1e-05,False,0.0,,TTT skipped because n_classes > 10 requires ManyClass baseline inference,0,0,,,,0,False,False,
kc1,/home/crc00006699/zh/tabiclv2/data178/kc1,binclass,1687,338,422,21,2,0.8601895734597157,0.8568899193800293,0.8473604826546003,8.32024359703064,1.793754816055298,ok,,1687,1349,0,422,,8,1e-05,True,8.319799184799194,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
kropt,/home/crc00006699/zh/tabiclv2/data178/kropt,multiclass,22444,4489,5612,6,18,0.9253385602280828,0.9253199728091333,0.9982597869509836,0.0479178428649902,1357.4551167488098,ok,,22444,0,0,5612,,0,1e-05,False,0.0,,TTT skipped because n_classes > 10 requires ManyClass baseline inference,0,0,,,,0,False,False,
letter,/home/crc00006699/zh/tabiclv2/data178/letter,multiclass,16000,3200,4000,15,26,0.99025,0.9902462675518624,0.9999784568728768,0.0458705425262451,883.1500790119171,ok,,16000,0,0,4000,,0,1e-05,False,0.0,,TTT skipped because n_classes > 10 requires ManyClass baseline inference,0,0,,,,0,False,False,
maternal_health_risk,/home/crc00006699/zh/tabiclv2/data178/maternal_health_risk,multiclass,811,163,203,6,3,0.8571428571428571,0.8547843299531344,0.9577048462941642,8.264070510864258,1.8076252937316892,ok,,811,648,0,203,,8,1e-05,True,8.26359224319458,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
mfeat-karhunen,/home/crc00006699/zh/tabiclv2/data178/mfeat-karhunen,multiclass,1600,320,400,64,10,0.9725,0.9724881825206,0.9995902777777778,9.169020175933838,1.843148946762085,ok,,1600,1280,0,400,,8,1e-05,True,9.168705224990845,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
mfeat-zernike,/home/crc00006699/zh/tabiclv2/data178/mfeat-zernike,multiclass,1600,320,400,47,10,0.8475,0.8368001538691193,0.9851666666666666,9.00551176071167,1.8338403701782229,ok,,1600,1280,0,400,,8,1e-05,True,9.005211591720581,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
mobile_c36_oversampling,/home/crc00006699/zh/tabiclv2/data178/mobile_c36_oversampling,binclass,41408,8282,10352,6,2,0.9940108191653788,0.994005254201272,0.9993349062124658,72.57221937179565,43.957785844802856,ok,,41408,33126,0,10352,,16,1e-05,True,72.57188773155212,tabpfn_finetune_epoch_chunks,dataset_val_split,8,2,tabpfn_finetuning_api,,,0,False,False,
national-longitudinal-survey-binary,/home/crc00006699/zh/tabiclv2/data178/national-longitudinal-survey-binary,binclass,3926,786,982,16,2,1.0,1.0,1.0,10.100143909454346,2.9470748901367188,ok,,3926,3140,0,982,,8,1e-05,True,10.099701404571531,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
