dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,causal_shuffle_n_features,causal_shuffle_feature_indices,causal_selector_seconds,causal_selector_status,causal_graph_png,causal_graph_json
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6094736842105263,0.4002764225006103,0.6856880187988281,ok,,3,"1,6,12",0.0122663974761962,ok selected=3 candidates=13 samples=3796,baseline/iclv1.1_casual_ensmble32/causal_graphs/Gender_Gap_in_Spanish_WP.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/Gender_Gap_in_Spanish_WP.json
IBM_HR_Analytics_Employee_Attrition_and_Performance,/home/crc00006699/zh/tabiclv2/data178/IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1176,236,294,31,2,0.8707482993197279,0.5605998039245605,0.4964118003845215,ok,,11,"4,5,7,8,9,12,14,16,24,26,30",0.1484773159027099,ok selected=11 candidates=31 samples=1176,baseline/iclv1.1_casual_ensmble32/causal_graphs/IBM_HR_Analytics_Employee_Attrition_and_Performance.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/IBM_HR_Analytics_Employee_Attrition_and_Performance.json
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data178/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9989964877069744,0.5267932415008545,2.642625331878662,ok,,5,"2,4,7,11,13",0.0869240760803222,ok selected=5 candidates=14 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/JapaneseVowels.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/JapaneseVowels.json
MagicTelescope,/home/crc00006699/zh/tabiclv2/data178/MagicTelescope,binclass,15216,3044,3804,9,2,0.8856466876971609,0.4819419384002685,3.8801732063293457,ok,,5,"0,1,4,5,7",0.025627851486206,ok selected=5 candidates=9 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/MagicTelescope.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/MagicTelescope.json
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data178/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8399122807017544,0.3734631538391113,0.2615060806274414,ok,,4,"1,3,5,6",0.006397008895874,ok selected=4 candidates=7 samples=1822,baseline/iclv1.1_casual_ensmble32/causal_graphs/National_Health_and_Nutrition_Health_Survey.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/National_Health_and_Nutrition_Health_Survey.json
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data178/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7402597402597403,0.3767731189727783,0.205291748046875,ok,,4,"0,1,5,6",0.0087954998016357,ok selected=4 candidates=8 samples=614,baseline/iclv1.1_casual_ensmble32/causal_graphs/Pima_Indians_Diabetes_Database.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/Pima_Indians_Diabetes_Database.json
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data178/QSAR_biodegradation,binclass,843,169,211,41,2,0.8767772511848341,0.6938748359680176,0.6354570388793945,ok,,7,"2,12,13,21,32,33,39",0.0936057567596435,ok selected=7 candidates=41 samples=843,baseline/iclv1.1_casual_ensmble32/causal_graphs/QSAR_biodegradation.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/QSAR_biodegradation.json
Satellite,/home/crc00006699/zh/tabiclv2/data178/Satellite,binclass,4080,816,1020,36,2,0.9931372549019608,0.5004971027374268,0.6629714965820312,ok,,3,"1,15,17",0.0402398109436035,ok selected=3 candidates=36 samples=4080,baseline/iclv1.1_casual_ensmble32/causal_graphs/Satellite.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/Satellite.json
Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/data178/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6478658536585366,0.3394660949707031,0.2775368690490722,ok,,3,"2,3,5",0.0018250942230224,ok selected=3 candidates=8 samples=2620,baseline/iclv1.1_casual_ensmble32/causal_graphs/Water_Quality_and_Potability.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/Water_Quality_and_Potability.json
accelerometer,/home/crc00006699/zh/tabiclv2/data178/accelerometer,multiclass,122403,24481,30601,4,4,0.7400084964543643,0.6993193626403809,170.8013277053833,ok,,3,"0,1,3",0.0040080547332763,ok selected=3 candidates=4 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/accelerometer.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/accelerometer.json
