dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,causal_shuffle_n_features,causal_shuffle_feature_indices,causal_selector_seconds,causal_selector_status,causal_graph_png,causal_graph_json
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7401101652478718,0.694035530090332,2.929224967956543,ok,,3,"0,1,2",0.002085447311401367,ok selected=3 candidates=3 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/BLE_RSSI_dataset_for_Indoor_localization.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/BLE_RSSI_dataset_for_Indoor_localization.json
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8143256286512573,0.7661857604980469,14.412112474441528,ok,,6,"1,2,3,4,5,7",0.05792093276977539,ok selected=6 candidates=9 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/BNG_tic-tac-toe.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/BNG_tic-tac-toe.json
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9125484496124031,0.5586941242218018,4.323935031890869,ok,,5,"1,2,4,6,7",0.0236358642578125,ok selected=5 candidates=8 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/California-Housing-Classification.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/California-Housing-Classification.json
Credit_c,/home/crc00006699/zh/tabiclv2/data178/Credit_c,multiclass,80000,16000,20000,22,3,0.7888,1.9053995609283447,103.44182705879211,ok,,5,"2,3,8,13,14",0.07880592346191406,ok selected=5 candidates=22 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/Credit_c.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/Credit_c.json
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6763636363636364,0.43468594551086426,1.1699442863464355,ok,,3,"6,8,9",0.007477521896362305,ok selected=3 candidates=10 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/E-CommereShippingData.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/E-CommereShippingData.json
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7520435967302452,0.3794560432434082,0.1953897476196289,ok,,3,"0,5,6",0.0018696784973144531,ok selected=3 candidates=10 samples=1467,baseline/iclv1.1_casual_ensmble32/causal_graphs/FOREX_audcad-day-High.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/FOREX_audcad-day-High.json
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.7574931880108992,0.36582159996032715,0.17043685913085938,ok,,3,"3,4,9",0.001870870590209961,ok selected=3 candidates=10 samples=1465,baseline/iclv1.1_casual_ensmble32/causal_graphs/FOREX_audjpy-day-High.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/FOREX_audjpy-day-High.json
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.6818026240730177,0.66023850440979,8.78481674194336,ok,,3,"4,5,9",0.004121541976928711,ok selected=3 candidates=10 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/FOREX_audusd-hour-High.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/FOREX_audusd-hour-High.json
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8796296296296297,1.03818941116333,3.1103484630584717,ok,,8,"0,1,2,7,9,10,13,14",0.5309605598449707,ok selected=8 candidates=16 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/Firm-Teacher_Clave-Direction_Classification.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/Firm-Teacher_Clave-Direction_Classification.json
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.68125,0.40404820442199707,0.3545036315917969,ok,,3,"1,8,13",0.0031898021697998047,ok selected=3 candidates=20 samples=1280,baseline/iclv1.1_casual_ensmble32/causal_graphs/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001.json
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data178/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.7985386221294363,0.6544187068939209,6.4041054248809814,ok,,8,"0,2,3,4,7,8,10,11",0.09514188766479492,ok selected=8 candidates=13 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/HR_Analytics_Job_Change_of_Data_Scientists.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/HR_Analytics_Job_Change_of_Data_Scientists.json
Indian_pines,/home/crc00006699/zh/tabiclv2/data178/Indian_pines,multiclass,7315,1463,1829,220,8,0.9240021869874249,1.762037754058838,11.131746053695679,ok,,3,"28,93,101",0.25223469734191895,ok selected=3 candidates=128 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/Indian_pines.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/Indian_pines.json
