dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,causal_shuffle_n_features,causal_shuffle_feature_indices,causal_selector_seconds,causal_selector_status,causal_graph_png,causal_graph_json
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data178/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.7827848101265823,0.5956404209136963,3.334660530090332,ok,,5,"24,25,27,30,31",0.0864715576171875,ok selected=5 candidates=32 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/GesturePhaseSegmentationProcessed.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/GesturePhaseSegmentationProcessed.json
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data178/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.90144727773949,0.8888759613037109,15.858932495117188,ok,,7,"2,5,8,10,11,15,16",0.16347241401672363,ok selected=7 candidates=17 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/INNHotelsGroup.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/INNHotelsGroup.json
KDDCup09_upselling,/home/crc00006699/zh/tabiclv2/data178/KDDCup09_upselling,binclass,4102,821,1026,49,2,0.8128654970760234,0.7028427124023438,2.0592145919799805,ok,,8,"7,8,9,11,12,21,39,46",0.16540050506591797,ok selected=8 candidates=49 samples=4102,baseline/iclv1.1_casual_ensmble32/causal_graphs/KDDCup09_upselling.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/KDDCup09_upselling.json
Marketing_Campaign,/home/crc00006699/zh/tabiclv2/data178/Marketing_Campaign,binclass,1792,359,448,27,2,0.8995535714285714,0.4862697124481201,0.645313024520874,ok,,8,"2,4,5,7,11,12,13,16",0.11074113845825195,ok selected=8 candidates=27 samples=1792,baseline/iclv1.1_casual_ensmble32/causal_graphs/Marketing_Campaign.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/Marketing_Campaign.json
PhishingWebsites,/home/crc00006699/zh/tabiclv2/data178/PhishingWebsites,binclass,8844,1769,2211,30,2,0.9787426503844414,0.9581437110900879,3.759591817855835,ok,,11,"5,6,7,8,12,13,14,15,25,26,27",0.3860204219818115,ok selected=11 candidates=30 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/PhishingWebsites.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/PhishingWebsites.json
PizzaCutter3,/home/crc00006699/zh/tabiclv2/data178/PizzaCutter3,binclass,834,167,209,37,2,0.8803827751196173,0.38512659072875977,0.3014240264892578,ok,,3,"0,4,35",0.01587200164794922,ok selected=3 candidates=37 samples=834,baseline/iclv1.1_casual_ensmble32/causal_graphs/PizzaCutter3.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/PizzaCutter3.json
Rain_in_Australia,/home/crc00006699/zh/tabiclv2/data178/Rain_in_Australia,multiclass,116368,23274,29092,18,3,0.8496150144369586,2.0385208129882812,164.40531992912292,ok,,4,"5,9,13,14",0.07034945487976074,ok selected=4 candidates=18 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/Rain_in_Australia.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/Rain_in_Australia.json
Telecom_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Telecom_Churn_Dataset,binclass,2666,534,667,17,2,0.9505247376311844,0.44384193420410156,0.8765034675598145,ok,,7,"0,1,4,9,13,14,16",0.05077719688415527,ok selected=7 candidates=17 samples=2666,baseline/iclv1.1_casual_ensmble32/causal_graphs/Telecom_Churn_Dataset.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/Telecom_Churn_Dataset.json
Wilt,/home/crc00006699/zh/tabiclv2/data178/Wilt,binclass,3856,772,965,5,2,0.9927461139896373,0.3436574935913086,0.3752422332763672,ok,,3,"1,3,4",0.0014891624450683594,ok selected=3 candidates=5 samples=3856,baseline/iclv1.1_casual_ensmble32/causal_graphs/Wilt.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/Wilt.json
ada,/home/crc00006699/zh/tabiclv2/data178/ada,binclass,3317,664,830,48,2,0.8518072289156626,0.7964136600494385,1.5991599559783936,ok,,13,"1,7,8,9,14,16,24,31,35,39,41,43,45",0.35901689529418945,ok selected=13 candidates=48 samples=3317,baseline/iclv1.1_casual_ensmble32/causal_graphs/ada.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/ada.json
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,/home/crc00006699/zh/tabiclv2/data178/airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,binclass,1600,320,400,7,2,0.625,0.3394277095794678,0.18078136444091797,ok,,3,"0,5,6",0.001428365707397461,ok selected=3 candidates=7 samples=1600,baseline/iclv1.1_casual_ensmble32/causal_graphs/airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True.json
analcatdata_authorship,/home/crc00006699/zh/tabiclv2/data178/analcatdata_authorship,multiclass,672,135,169,69,4,0.9881656804733728,0.6753642559051514,0.5056085586547852,ok,,17,"5,8,10,17,20,21,23,29,30,34,38,41,43,52,55,56,59",0.26746296882629395,ok selected=17 candidates=69 samples=672,baseline/iclv1.1_casual_ensmble32/causal_graphs/analcatdata_authorship.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/analcatdata_authorship.json
autoUniv-au7-1100,/home/crc00006699/zh/tabiclv2/data178/autoUniv-au7-1100,multiclass,880,176,220,12,5,0.36818181818181817,0.3578221797943115,0.493328332901001,ok,,6,"0,2,3,4,5,10",0.01630091667175293,ok selected=6 candidates=12 samples=880,baseline/iclv1.1_casual_ensmble32/causal_graphs/autoUniv-au7-1100.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/autoUniv-au7-1100.json
