dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_gate_d,n_test_e,ttt_loss,ttt_steps,ttt_lr,ttt_update_ran,ttt_gate_passed,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,gate_baseline_accuracy,gate_adapted_accuracy,gate_accuracy_delta,gate_baseline_loss,gate_adapted_loss,gate_loss_delta,ttt_gate_threshold,ttt_gate_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9443088190418065,34.87648820877075,12.145533084869385,ok,,26215,16117,7370,2728,6554,0.19782593846321106,5,1.5580286252552488e-05,True,False,False,21.771045207977295,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.9464809384164223,0.9461143695014663,-0.0003665689149560114,0.16088883862992964,0.1620069248867043,0.0011180862567746475,0.0,Gate rejected: gate_accuracy_delta=-0.000367 <= threshold=0.000000
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.58625678119349,87.62530660629272,34.49342346191406,ok,,44236,27196,12436,4604,11060,0.888193666934967,5,1.5580286252552488e-05,True,False,False,58.20165824890137,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.5688531711555169,0.5684187662901824,-0.0004344048653345256,0.8983385813172804,0.8976986882182503,-0.0006398930990301199,0.0,Gate rejected: gate_accuracy_delta=-0.000434 <= threshold=0.000000
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.7126865671641791,1.9267385005950928,0.2757375240325928,ok,,1072,659,301,112,268,0.5236862897872925,5,1.5580286252552488e-05,True,False,False,0.5464141368865967,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6875,0.6785714285714286,-0.008928571428571397,0.5366177503287649,0.5327237421664712,-0.003894008162293683,0.0,Gate rejected: gate_accuracy_delta=-0.008929 <= threshold=0.000000
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8320400500625782,37.025395154953,7.007780313491821,ok,,31958,19648,8984,3326,7990,0.4399986267089844,5,1.5580286252552488e-05,True,False,False,30.477253437042236,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.8325315694527962,0.8322309079975947,-0.0003006614552014675,0.44275511531367895,0.441811063147599,-0.0009440521660799561,0.0,Gate rejected: gate_accuracy_delta=-0.000301 <= threshold=0.000000
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7489177489177489,1.9352383613586426,0.5291659832000732,ok,,920,565,259,96,231,0.5294476747512817,5,1.5580286252552488e-05,True,False,False,0.574002742767334,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7604166666666666,0.7604166666666666,0.0,0.5098257767671205,0.5111471179172943,0.0013213411501737937,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7473417721518988,6.707320928573608,2.838768482208252,ok,,7896,4854,2220,822,1975,0.556204080581665,5,1.5580286252552488e-05,True,True,True,3.129133701324463,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.732360097323601,0.7335766423357665,0.0012165450121655041,0.5487861161934081,0.5484028228501544,-0.00038329334325371,0.0,Gate passed: gate_accuracy_delta=0.001217 > threshold=0.000000
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7547683923705722,2.144641637802124,0.353008508682251,ok,,1466,901,412,153,367,0.5279059410095215,5,1.5580286252552488e-05,True,False,False,0.5929157733917236,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7124183006535948,0.7124183006535948,0.0,0.572246046662877,0.5851688099854581,0.012922763322581021,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.6942384483742157,57.77665066719055,22.958540439605713,ok,,35060,21555,9856,3649,8765,0.6206673383712769,5,1.5580286252552488e-05,True,True,True,37.54084491729736,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.684297067689778,0.7018361194847903,0.01753905179501225,0.5945837300526284,0.5778453577378097,-0.016738372314818784,0.0,Gate passed: gate_accuracy_delta=0.017539 > threshold=0.000000
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.6977752424415288,57.64510750770569,22.966140747070312,ok,,35060,21555,9856,3649,8765,0.8838810324668884,5,1.5580286252552488e-05,True,True,True,37.489261627197266,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6914223074815018,0.69251849821869,0.0010961907371882518,0.5845604775604302,0.5866316023239139,0.0020711247634837004,0.0,Gate passed: gate_accuracy_delta=0.001096 > threshold=0.000000
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.66875,2.2700061798095703,0.3858623504638672,ok,,1280,787,360,133,320,0.6182354688644409,5,1.5580286252552488e-05,True,False,False,0.6103959083557129,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6390977443609023,0.6390977443609023,0.0,0.6645987789499557,0.6561283313476431,-0.008470447602312525,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
