dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy_iclv2_ensmble8,accuracy_tabpfnv3,delta_tabpfnv3_minus_iclv2_ensmble8,delta_correct_estimate,winner
eeg-eye-state,binclass,11984,2397,2996,14,2,0.9946595460614152,0.9939919893190922,-0.0006675567423229944,-1.9999999999996914,iclv2_ensmble8
electricity,binclass,36249,7250,9063,8,2,0.9265143992055612,0.9075361359373276,-0.018978263268233597,-172.00000000000108,iclv2_ensmble8
estimation_of_obesity_levels,multiclass,1688,338,423,16,7,0.9905437352245864,0.9929078014184396,0.0023640661938532093,0.9999999999999075,tabpfnv3_results
eye_movements,multiclass,8748,1750,2188,27,3,0.8368372943327239,0.853290676416819,0.01645338208409508,36.000000000000036,tabpfnv3_results
eye_movements_bin,binclass,6086,1218,1522,20,2,0.6550591327201051,0.6662286465177398,0.011169513797634756,17.0000000000001,tabpfnv3_results
first-order-theorem-proving,multiclass,4894,979,1224,51,6,0.6503267973856209,0.6495098039215687,-0.0008169934640522847,-0.9999999999999964,iclv2_ensmble8
gas-drift,multiclass,11128,2226,2782,128,6,0.9971243709561468,0.9964054636951832,-0.0007189072609635749,-2.0000000000006652,iclv2_ensmble8
gina_agnostic,binclass,2774,555,694,970,2,0.9755043227665706,0.95821325648415,-0.01729106628242061,-11.999999999999902,iclv2_ensmble8
golf_play_dataset_extended,binclass,876,176,219,9,2,0.9452054794520548,0.9406392694063926,-0.004566210045662156,-1.000000000000012,iclv2_ensmble8
heloc,binclass,8000,1600,2000,22,2,0.7325,0.731,-0.0015000000000000568,-3.0000000000001137,iclv2_ensmble8
hill-valley,binclass,969,194,243,100,2,0.9753086419753086,0.9423868312757202,-0.03292181069958844,-7.99999999999999,iclv2_ensmble8
house_16H,binclass,10790,2158,2698,16,2,0.8902891030392883,0.8873239436619719,-0.002965159377316451,-7.999999999999784,iclv2_ensmble8
htru,binclass,14318,2864,3580,8,2,0.9807262569832402,0.979608938547486,-0.0011173184357542443,-4.0000000000001945,iclv2_ensmble8
ibm-employee-performance,binclass,1176,236,294,30,2,1.0,1.0,0.0,0.0,tie
in_vehicle_coupon_recommendation,binclass,10147,2030,2537,21,2,0.7883326763894364,0.780449349625542,-0.00788332676389436,-19.999999999999993,iclv2_ensmble8
internet_firewall,multiclass,52425,10485,13107,7,4,0.9250782024872206,0.9310292210269322,0.005951018539711583,77.99999999999972,tabpfnv3_results
