dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_roc_auc,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8814814814814815,0.880761471659231,0.8103640662163902,0.972160509251848,0.3102722945977647,118.87868309020996,1.4319884777069092,ok,,8640,6912,0,2160,,120,5e-06,True,118.87832236289978,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,,,0,False,False,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.684375,0.680098187684968,0.684375,0.7557421875000001,0.582129771413103,55.60184168815613,0.5307352542877197,ok,,1280,1024,0,320,,30,5e-06,True,55.60151720046997,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6042105263157894,0.5509991163595354,0.4153293943745959,0.7012213693307521,0.7984692152174164,36.62532234191895,0.6646924018859863,ok,,3796,3036,0,950,,60,5e-06,True,36.624959230422974,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data178/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8016701461377871,0.8020820407713126,0.737104713861698,0.8118378837758209,0.4366049381357755,285.0700364112854,2.599416971206665,ok,,15326,12260,0,3832,,210,5e-06,True,285.06957626342773,tabpfn_finetune_epoch_chunks,dataset_val_split,30,7,tabpfn_finetuning_api,,,0,False,False,
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data178/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.9026878015161958,0.9019834982501336,0.8827694440175365,0.9615317146019589,0.2272802895712353,557.4627692699432,6.90470027923584,ok,,29020,23216,0,7255,,360,5e-06,True,557.4623069763184,tabpfn_finetune_epoch_chunks,dataset_val_split,30,12,tabpfn_finetuning_api,,,0,False,False,
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data178/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9989964877069744,0.9989960803818158,0.9987928379401247,0.9999984058856812,0.0046149783514916,84.00119376182556,1.2610931396484375,ok,,7968,6374,0,1993,,120,5e-06,True,84.00073504447937,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,,,0,False,False,
MIC,/home/crc00006699/zh/tabiclv2/data178/MIC,binclass,1319,264,330,104,2,0.906060606060606,0.8968551692194965,0.7441492726122707,0.8876941457586618,0.2609063116139767,101.7955391407013,0.5985183715820312,ok,,1319,1055,0,330,,30,5e-06,True,101.79513025283812,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
Marketing_Campaign,/home/crc00006699/zh/tabiclv2/data178/Marketing_Campaign,binclass,1792,359,448,27,2,0.8883928571428571,0.8744094447219447,0.6883691777333804,0.9297214713832412,0.2340584566266694,74.4370527267456,0.5754163265228271,ok,,1792,1433,0,448,,30,5e-06,True,74.43672847747803,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data178/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8355263157894737,0.7913318971559885,0.541739690260739,0.7702349869451698,0.3814892172286626,53.80327248573303,0.5553634166717529,ok,,1822,1457,0,456,,30,5e-06,True,53.802868604660034,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
PieChart3,/home/crc00006699/zh/tabiclv2/data178/PieChart3,binclass,861,173,216,37,2,0.8703703703703703,0.8293750000000001,0.5291005291005291,0.8600823045267489,0.2879784405182373,49.28465414047241,0.6025340557098389,ok,,861,688,0,216,,30,5e-06,True,49.284241676330566,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
