dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,status_baseline,status_baseline_ttt,status_TTT,accuracy_baseline,accuracy_baseline_ttt,accuracy_TTT,delta_baseline_ttt_vs_baseline,delta_pp_baseline_ttt_vs_baseline,relative_delta_pct_baseline_ttt_vs_baseline,bucket_baseline_ttt_vs_baseline,delta_TTT_vs_baseline,delta_pp_TTT_vs_baseline,relative_delta_pct_TTT_vs_baseline,bucket_TTT_vs_baseline,delta_TTT_vs_baseline_ttt,delta_pp_TTT_vs_baseline_ttt,bucket_TTT_vs_baseline_ttt,fit_seconds_baseline,fit_seconds_baseline_ttt,fit_seconds_TTT,predict_seconds_baseline,predict_seconds_baseline_ttt,predict_seconds_TTT,ttt_applied_baseline_ttt,ttt_applied_TTT,ttt_steps_baseline_ttt,ttt_steps_TTT,ttt_lr_baseline_ttt,ttt_lr_TTT,ttt_loss_baseline_ttt,ttt_loss_TTT,ttt_update_seconds_baseline_ttt,ttt_update_seconds_TTT,ttt_split_strategy_baseline_ttt,ttt_split_strategy_TTT,ttt_split_reason_baseline_ttt,ttt_split_reason_TTT,error_type_baseline_ttt,error_first_line_baseline_ttt,error_type_TTT,error_first_line_TTT,dataset_dir
Click_prediction_small,binclass,31958,6392,7990,3,2,ok,ok,ok,0.8320400500625782,0.8319148936170213,0.8319148936170213,-0.00012515644555688432,-0.012515644555688432,-0.015042117930197139,regressed,-0.00012515644555688432,-0.012515644555688432,-0.015042117930197139,regressed,0.0,0.0,tie,0.4048318862915039,8.918448448181152,34.26749897003174,6.997009754180908,6.974638223648071,7.452008962631226,True,True,1,1,2e-06,2e-06,0.4403282701969147,0.4406826868653297,8.82149052619934,34.170427322387695,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small
Credit_c,multiclass,80000,16000,20000,22,3,ok,fail,fail,0.792,,,,,,run_failed,,,,run_failed,,,both_failed,1.7806065082550049,0.0,0.0,111.15165758132936,0.0,0.0,False,False,0,0,,,,,0.0,0.0,,,,,RuntimeError,RuntimeError: CUDA error: invalid configuration argument,RuntimeError,RuntimeError: Caught RuntimeError in replica 0 on device 0.,/home/crc00006699/zh/tabiclv2/data178/Credit_c
Customer_Personality_Analysis,binclass,1792,359,448,24,2,ok,ok,ok,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie,0.0,0.0,tie,0.4083352088928222,0.5284783840179443,1.8635177612304688,0.7227966785430908,0.6546809673309326,0.6803228855133057,True,True,1,1,2e-06,2e-06,0.3109835088253021,0.2803117409348488,0.4667088985443115,1.8012363910675049,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis
Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,ok,ok,ok,0.7489177489177489,0.7489177489177489,0.7489177489177489,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie,0.0,0.0,tie,0.3530807495117187,0.4510014057159424,1.6429259777069092,0.6521532535552979,0.497081995010376,0.5167720317840576,True,True,1,1,2e-06,2e-06,0.6495124697685242,0.5309936205546061,0.4102258682250976,1.6018707752227783,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen
E-CommereShippingData,binclass,8799,1760,2200,10,2,ok,ok,ok,0.6781818181818182,0.6781818181818182,0.6763636363636364,0.0,0.0,0.0,tie,-0.0018181818181818299,-0.181818181818183,-0.26809651474531004,regressed,-0.0018181818181818299,-0.181818181818183,regressed,0.4323041439056396,1.4147074222564695,10.629243612289429,2.8907456398010254,2.716055154800415,2.9983277320861816,True,True,1,1,2e-06,2e-06,0.5309059619903564,0.5051225324471792,1.3251490592956543,10.537712335586548,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData
Employee,binclass,3722,745,931,8,2,ok,ok,ok,0.8528464017185822,0.8528464017185822,0.8517722878625135,0.0,0.0,0.0,tie,-0.0010741138560687036,-0.10741138560687036,-0.12594458438286688,regressed,-0.0010741138560687036,-0.10741138560687036,regressed,0.3660156726837158,0.6359069347381592,3.23121190071106,0.9537360668182372,0.8532116413116455,1.009143352508545,True,True,1,1,2e-06,2e-06,0.5106565356254578,0.3911133259534836,0.5902242660522461,3.184901714324951,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/Employee
FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,ok,ok,ok,0.7448101265822785,0.7448101265822785,0.7458227848101265,0.0,0.0,0.0,tie,0.0010126582278480178,0.10126582278480178,0.13596193065940415,improved,0.0010126582278480178,0.10126582278480178,improved,0.465599775314331,1.3389153480529783,9.485157012939451,3.1942059993743896,2.855963706970215,3.1139626502990723,True,True,1,1,2e-06,2e-06,0.5756033062934875,0.5377402007579803,1.1730284690856934,9.31574320793152,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned
FOREX_audcad-day-High,binclass,1467,294,367,10,2,ok,ok,ok,0.7438692098092643,0.7438692098092643,0.7547683923705722,0.0,0.0,0.0,tie,0.010899182561307952,1.0899182561307952,1.465201465201472,improved,0.010899182561307952,1.0899182561307952,improved,0.3528389930725097,0.4475207328796386,1.5205092430114746,0.4371953010559082,0.3345489501953125,0.4330575466156006,True,True,1,1,2e-06,2e-06,0.6288928389549255,0.6037676433722178,0.4182398319244385,1.4903295040130615,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High
FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,ok,ok,ok,0.7120365088419852,0.7124928693667998,0.7122646891043924,0.0004563605248145697,0.04563605248145697,0.0640922929017738,improved,0.00022818026240722933,0.022818026240722933,0.0320461464508791,improved,-0.00022818026240734035,-0.022818026240734035,regressed,0.6262383460998535,10.98819375038147,122.58538246154784,23.19978666305542,23.257519245147705,23.812854528427124,True,True,1,1,2e-06,2e-06,0.5927610993385315,0.5643377900123596,10.68410325050354,122.27484321594238,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High
FOREX_audchf-day-High,binclass,1466,294,367,10,2,ok,ok,ok,0.7547683923705722,0.7574931880108992,0.7547683923705722,0.0027247956403269047,0.27247956403269047,0.36101083032490033,improved,0.0,0.0,0.0,tie,-0.0027247956403269047,-0.27247956403269047,regressed,0.3647594451904297,0.4378254413604736,1.626366138458252,0.4128069877624511,0.3809049129486084,0.4462864398956299,True,True,1,1,2e-06,2e-06,0.5953503251075745,0.5635132342576981,0.4054970741271972,1.5931434631347656,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High
