dataset_name,direction,accuracy_base,accuracy_ttt,acc_delta_ttt_minus_base,meta_n_features,meta_n_num_features,meta_n_cat_features,meta_total_samples,meta_train_size,meta_val_size,meta_test_size,meta_task_type,meta_num_classes,n_features_base,n_features_ttt,n_classes_base,n_classes_ttt,ttt_applied,ttt_epochs,ttt_steps,f1,roc_auc
FOREX_audusd-hour-High,up,0.7106674272675414,0.7112378779235596,0.0005704506560182399,10,10,0,43825,28048,7012,8765,binclass,,10,10,2,2,True,8,16,0.7113846212381151,0.7878177431319958
bank,up,0.9089903792989052,0.9095432931549264,0.0005529138560211866,16,7,9,45211,28934,7234,9043,binclass,2,16,16,2,2,True,8,16,0.9054745901903692,0.9438272138331204
pendigits,up,0.9972714870395636,0.9977262391996362,0.00045475216007262453,16,16,0,10992,7034,1759,2199,multiclass,,16,16,10,10,True,8,8,0.997728000634768,0.999639943647974
E-CommereShippingData,up,0.6772727272727272,0.6777272727272727,0.00045454545454548523,10,6,4,10999,7039,1760,2200,binclass,2,10,10,2,2,True,8,8,0.6658777891253445,0.7318034639297768
HR_Analytics_Job_Change_of_Data_Scientists,up,0.8014091858037579,0.8016701461377871,0.00026096033402922547,13,3,10,19158,12260,3066,3832,binclass,2,13,13,2,2,True,8,8,0.8031389901888192,0.80895839361464
BNG(breast-w),up,0.9878079756159512,0.9880619761239524,0.00025400050800117313,9,9,0,39366,25193,6299,7874,binclass,,9,9,2,2,True,8,16,0.9880764418412792,0.9991665228343226
Fitness_Club_c,tie,0.7966666666666666,0.7966666666666666,0.0,6,3,3,1500,960,240,300,binclass,2,6,6,2,2,True,8,8,0.792733543259859,0.824096955675903
htru,tie,0.9793296089385476,0.9793296089385476,0.0,8,8,0,17898,11454,2864,3580,binclass,2,8,8,2,2,True,8,8,0.9792437326594832,0.9876094073440737
PieChart3,tie,0.875,0.875,0.0,37,37,0,1077,688,173,216,binclass,,37,37,2,2,True,8,8,0.8249978608710533,0.8672349598275523
QSAR_biodegradation,tie,0.8957345971563981,0.8957345971563981,0.0,41,41,0,1054,674,169,211,binclass,2,41,41,2,2,True,8,8,0.8949577677618703,0.9441649899396378
Telecom_Churn_Dataset,tie,0.967016491754123,0.967016491754123,0.0,17,14,3,3333,2132,534,667,binclass,2,17,17,2,2,True,8,8,0.9662636073267716,0.928712244528848
Wilt,tie,0.9927461139896372,0.9927461139896372,0.0,5,5,0,4821,3084,772,965,binclass,2,5,5,2,2,True,8,8,0.9926443320683423,0.9872777824585052
drug_consumption,tie,0.403183023872679,0.403183023872679,0.0,12,12,0,1884,1205,302,377,multiclass,7,12,12,7,7,True,8,8,0.2316968605998004,0.5113171628881202
eye_movements,tie,0.8596892138939671,0.8596892138939671,0.0,27,24,3,10936,6998,1750,2188,multiclass,,27,27,3,3,True,8,8,0.8593346069131224,0.9658080873705124
golf_play_dataset_extended,tie,0.9315068493150684,0.9315068493150684,0.0,9,3,6,1095,700,176,219,binclass,2,9,9,2,2,True,8,8,0.9306468535400731,0.9766272932897712
yeast,tie,0.6060606060606061,0.6060606060606061,0.0,8,8,0,1484,949,238,297,multiclass,,8,8,10,10,True,8,8,0.6002811617937558,0.8709658629383764
ibm-employee-performance,tie,1.0,1.0,0.0,30,23,7,1470,940,236,294,binclass,,30,30,2,2,True,8,8,1.0,1.0
mice_protein_expression,tie,1.0,1.0,0.0,75,75,0,1080,691,173,216,multiclass,8,75,75,8,8,True,8,8,1.0,1.0
national-longitudinal-survey-binary,tie,1.0,1.0,0.0,16,9,7,4908,3140,786,982,binclass,,16,16,2,2,True,8,8,1.0,1.0
qsar,tie,0.8957345971563981,0.8957345971563981,0.0,40,30,10,1055,675,169,211,binclass,,40,40,2,2,True,8,8,0.8940703276665646,0.9500503018108652
seismic+bumps,tie,0.9342359767891684,0.9342359767891684,0.0,18,14,4,2584,1653,414,517,binclass,2,18,18,2,2,True,8,8,0.9024719535783364,0.7130982827913774
spambase,tie,0.9587404994571118,0.9587404994571118,0.0,57,57,0,4601,2944,736,921,binclass,,57,57,2,2,True,8,8,0.958760137341591,0.9914886894359036
texture,tie,1.0,1.0,0.0,40,40,0,5500,3520,880,1100,multiclass,,40,40,11,11,False,0,0,1.0,1.0
FOREX_audcad-day-High,tie,0.7465940054495913,0.7465940054495913,0.0,10,10,0,1834,1173,294,367,binclass,,10,10,2,2,True,8,8,0.7465827139375766,0.8328135210598229
FOREX_audchf-day-High,tie,0.7520435967302452,0.7520435967302452,0.0,10,10,0,1833,1172,294,367,binclass,,10,10,2,2,True,8,8,0.7519773144723487,0.8390661201211905
shuttle,down,0.9996551724137932,0.9995689655172414,-8.620689655181035e-05,9,9,0,58000,37120,9280,11600,multiclass,,9,9,7,7,True,8,16,0.9995709767228834,0.999997033993842
Click_prediction_small,down,0.8335419274092616,0.8334167709637046,-0.00012515644555699534,3,3,0,39948,25566,6392,7990,binclass,2,3,3,2,2,True,8,16,0.762720237122303,0.6269764450245248
BNG(cmc),down,0.5871609403254973,0.5868896925858951,-0.0002712477396021873,9,2,7,55296,35388,8848,11060,multiclass,,9,9,3,3,True,8,16,0.585301436286202,0.7640932055826078
FOREX_audsgd-hour-High,down,0.7142042213348545,0.7138619509412436,-0.0003422703936108995,10,10,0,43825,28048,7012,8765,binclass,,10,10,2,2,True,8,16,0.7137877257412366,0.7859671020706285
BNG(tic-tac-toe),down,0.8121666243332487,0.8117856235712472,-0.00038100076200153765,9,0,9,39366,25193,6299,7874,binclass,,9,9,2,2,True,8,16,0.8078327569183582,0.8782470091676701
mammography,down,0.9888243182834152,0.988377291014752,-0.00044702726866319153,6,6,0,11183,7156,1790,2237,binclass,,6,6,2,2,True,8,8,0.987341880758594,0.9805007921140644
thyroid,down,0.9958333333333332,0.9951388888888888,-0.000694444444444442,21,21,0,7200,4608,1152,1440,multiclass,3,21,21,3,3,True,8,8,0.9950708898627756,0.9998326371607246
credit,down,0.784026323661382,0.7831289261142687,-0.0008973975471133766,10,10,0,16714,10696,2675,3343,binclass,,10,10,2,2,True,8,8,0.7831253942184746,0.8644984165571428
page-blocks,down,0.9799086757990868,0.9789954337899544,-0.0009132420091324533,10,10,0,5473,3502,876,1095,multiclass,,10,10,5,5,True,8,8,0.9786887633636332,0.9935186179350264
mobile_c36_oversampling,down,0.9924652241112828,0.991499227202473,-0.0009659969088098297,6,6,0,51760,33126,8282,10352,binclass,2,6,6,2,2,True,8,16,0.9914947532124438,0.9991278321056364
Satellite,down,0.9941176470588236,0.9931372549019608,-0.0009803921568627416,36,36,0,5100,3264,816,1020,binclass,,36,36,2,2,True,8,8,0.9924594949642388,0.9922388059701492
internet_usage,down,0.5499505440158259,0.5489614243323442,-0.0009891196834816984,70,0,70,10108,6468,1618,2022,multiclass,,70,70,46,46,False,0,0,0.4729169266729339,0.9426065031057342
pol,down,0.991571641051066,0.9905800694100148,-0.0009915716410512365,26,26,0,10082,6452,1613,2017,binclass,,26,26,2,2,True,8,8,0.9905799026948008,0.9997360068903678
waveform_database_generator_version_1,down,0.871,0.87,-0.0010000000000000009,21,21,0,5000,3200,800,1000,multiclass,3,21,21,3,3,True,8,8,0.8697775696531872,0.9715071970181172
house_16H,down,0.8928836174944403,0.8917716827279466,-0.0011119347664937385,16,16,0,13488,8632,2158,2698,binclass,,16,16,2,2,True,8,8,0.8917678763469665,0.9559542499427136
letter,down,0.9895,0.98825,-0.0012500000000000844,15,15,0,20000,12800,3200,4000,multiclass,,15,15,26,26,False,0,0,0.9882412620818608,0.9999697036102416
allrep,down,0.9880794701986756,0.9867549668874172,-0.0013245033112584403,29,6,23,3772,2413,604,755,multiclass,,29,29,4,4,True,8,8,0.986860819055772,0.9968752015791714
