dataset,layer,num_tensors,numel,positive_count,negative_count,near_zero_count_abs_le_1e_12,positive_percent,negative_percent,near_zero_percent_abs_le_1e_12
Amazon,block_00,12,2102784,1051228,1051530,26,49.99220081568054,50.00656272826881,0.0012364560506452397
Amazon,block_01,12,2102784,1054041,1048697,46,50.12597584915998,49.871836574750425,0.0021875760896031167
Amazon,block_02,12,2102784,1058639,1044115,30,50.34463834611639,49.65393497382517,0.0014266800584368153
Amazon,block_03,12,2102784,1051778,1050951,55,50.01835661675189,49.97902780314098,0.002615580107134161
Amazon,block_04,12,2102784,1052921,1049808,55,50.07271312697833,49.92467129291454,0.002615580107134161
Amazon,block_05,12,2102784,1048552,1054167,65,49.864940954467976,50.1319679054054,0.0030911401266130994
Amazon,block_06,12,2102784,1050964,1051776,44,49.979646031166304,50.018261504748,0.002092464085707329
Amazon,block_07,12,2102784,1051528,1051206,50,50.00646761626491,49.991154583637694,0.002377800097394692
Amazon,block_08,12,2102784,1050473,1052248,63,49.956296034209885,50.04070793766739,0.002996028122717312
Amazon,block_09,12,2102784,1050644,1052094,46,49.964428110542976,50.03338431336742,0.0021875760896031167
Amazon,block_10,12,2102784,1050105,1052635,44,49.93879542549306,50.05911211042123,0.002092464085707329
Amazon,block_11,12,2102784,1052646,1050113,25,50.05963522644266,49.939175873508646,0.001188900048697346
Amazon,decoder,4,535562,266323,269195,44,49.72776261198516,50.26402171924072,0.008215668774110186
Amazon,ln,2,1024,571,452,1,55.76171875,44.140625,0.09765625
Amazon,y_encoder,2,5632,764,772,4096,13.565340909090908,13.707386363636365,72.72727272727273
BLE,block_00,12,2102784,1049920,1052845,19,49.9299975651327,50.06909887083029,0.000903564037009983
BLE,block_01,12,2102784,1051041,1051719,24,49.98330784331629,50.01555081263697,0.0011413440467494523
BLE,block_02,12,2102784,1047941,1054820,23,49.83588423727782,50.16302197467738,0.0010937880448015583
BLE,block_03,12,2102784,1051080,1051670,34,49.985162527392255,50.01322056854151,0.0016169040662283903
BLE,block_04,12,2102784,1051213,1051539,32,49.991487475651326,50.00699073228634,0.001521792062332603
BLE,block_05,12,2102784,1051982,1050780,22,50.02805804114926,49.97089572680789,0.0010462320428536644
BLE,block_06,12,2102784,1049846,1052899,39,49.92647842098856,50.071666894935476,0.0018546840759678597
BLE,block_07,12,2102784,1050107,1052638,39,49.93889053749695,50.059254778427075,0.0018546840759678597
BLE,block_08,12,2102784,1049215,1053541,28,49.89647058375943,50.10219784818602,0.0013315680545410275
BLE,block_09,12,2102784,1051697,1051071,16,50.01450458059411,49.984734523374726,0.0007608960311663015
BLE,block_10,12,2102784,1050998,1051761,25,49.98126293523253,50.017548164718775,0.001188900048697346
BLE,block_11,12,2102784,1050244,1052507,33,49.94540570976382,50.053024942171895,0.0015693480642804966
BLE,decoder,4,535562,267221,268318,23,49.89543694287496,50.10026850299312,0.004294554131921234
BLE,ln,2,1024,567,457,0,55.37109375,44.62890625,0.0
BLE,y_encoder,2,5632,1026,1022,3584,18.217329545454543,18.146306818181817,63.63636363636363
BNG,block_00,12,2102784,1047368,1055396,20,49.80863464816168,50.190414231799366,0.0009511200389578768
BNG,block_01,12,2102784,1052016,1050742,26,50.02967494521548,49.96908859873387,0.0012364560506452397
BNG,block_02,12,2102784,1044270,1058493,21,49.6613061541271,50.337695169831996,0.0009986760409057707
BNG,block_03,12,2102784,1052897,1049854,33,50.07157178293158,49.926858869004135,0.0015693480642804966
BNG,block_04,12,2102784,1051762,1050950,72,50.01759572072072,49.978980247139035,0.0034240321402483564
BNG,block_05,12,2102784,1052546,1050194,44,50.054879626247875,49.94302790966642,0.002092464085707329
BNG,block_06,12,2102784,1051107,1051595,82,49.98644653944485,50.00965386839542,0.003899592159727295
BNG,block_07,12,2102784,1052213,1050534,37,50.03904347759922,49.9591969503287,0.001759572072072072
BNG,block_08,12,2102784,1051321,1051442,21,49.9966235238617,50.0023778000974,0.0009986760409057707
BNG,block_09,12,2102784,1051620,1051138,26,50.01084276844412,49.98792077550524,0.0012364560506452397
BNG,block_10,12,2102784,1051055,1051696,33,49.98397362734356,50.01445702459216,0.0015693480642804966
BNG,block_11,12,2102784,1051851,1050816,117,50.02182820489408,49.97260774287801,0.005564052227903579
BNG,decoder,4,535562,264435,271051,76,49.37523573367789,50.61057356571228,0.014190700609826686
BNG,ln,2,1024,507,517,0,49.51171875,50.48828125,0.0
BNG,y_encoder,2,5632,770,766,4096,13.671875,13.600852272727273,72.72727272727273
