dataset,key,layer,group,shape,numel,base_norm,current_norm,delta_l2,rel_l2,mean_abs_delta,median_abs_delta,max_abs_delta,rms_delta,changed_fraction_exact,changed_fraction_gt_1e_12,cosine_similarity
BNG,icl_predictor.tf_icl.blocks.11.attn.out_proj.weight,block_11,attn.out_proj,512x512,262144,11.64064884185791,11.64076042175293,0.018622059375047684,0.001599744106023037,3.337852831464261e-05,3.840401768684387e-05,5.053915083408356e-05,3.637132615680956e-05,1.0,1.0,1.0000083446502686
BNG,icl_predictor.tf_icl.blocks.11.attn.out_proj.bias,block_11,attn.out_proj,512,512,0.33195608854293823,0.3319628834724426,0.0006793091306462884,0.0020463825008480725,2.5724595616338775e-05,2.648681402206421e-05,4.9198977649211884e-05,3.0021506878668073e-05,1.0,1.0,0.9999978542327881
BNG,icl_predictor.ln.weight,ln,ln,512,512,21.56521987915039,21.56528663635254,0.000793109938967973,3.677727115292379e-05,3.181304782629013e-05,3.504753112792969e-05,5.054473876953125e-05,3.505085395470083e-05,1.0,1.0,1.0
BNG,icl_predictor.ln.bias,ln,ln,512,512,0.38168638944625854,0.381521999835968,0.0006823528092354536,0.0017877315725708925,2.631881579873152e-05,2.5079178158193827e-05,5.000457167625427e-05,3.0156018567233062e-05,1.0,1.0,0.9999984502792358
BNG,icl_predictor.y_encoder.weight,y_encoder,y_encoder,512x10,5120,13.610689163208008,13.610712051391602,0.0011371528962627053,8.354851709761605e-05,6.42128725303337e-06,0.0,5.078315734863281e-05,1.5892194076301728e-05,0.20000000298023224,0.20000000298023224,0.9999997615814209
BNG,icl_predictor.y_encoder.bias,y_encoder,y_encoder,512,512,3.4462814331054688,3.446279287338257,0.0009491693344898522,0.00027541840471057336,3.98298871004954e-05,4.6603381633758545e-05,5.067512392997742e-05,4.194775201405655e-05,1.0,1.0,1.0
BNG,icl_predictor.decoder.0.weight,decoder,decoder,1024x512,524288,24.294889450073242,24.294858932495117,0.024797001853585243,0.0010206674084499473,3.0756407795706764e-05,3.3993273973464966e-05,5.069654434919357e-05,3.424657081819068e-05,0.9999866485595703,0.9999866485595703,1.0000252723693848
BNG,icl_predictor.decoder.0.bias,decoder,decoder,1024,1024,0.9218702912330627,0.9218780398368835,0.0008804703829810023,0.0009550913955610389,2.301964195794426e-05,2.0191073417663574e-05,5.05596399307251e-05,2.7514698580962867e-05,1.0,1.0,0.9999994039535522
BNG,icl_predictor.decoder.2.weight,decoder,decoder,10x1024,10240,8.119904518127441,8.119965553283691,0.00212662760168314,0.00026190303062495945,1.2510873602877837e-05,1.7422717064619064e-06,5.05656935274601e-05,2.1015649974968116e-05,0.9932616949081421,0.9932616949081421,1.0
BNG,icl_predictor.decoder.2.bias,decoder,decoder,10,10,0.07279705256223679,0.07278816401958466,6.663522071903571e-05,0.0009153560257285353,1.3453606698021758e-05,8.046627044677734e-06,4.957709461450577e-05,2.1071908890050067e-05,1.0,1.0,0.9999996423721313
