dataset_name,task_type,baseline_acc,n_classes,up_count,down_count,flat_count,first_up_step,last_up_step,best_step,best_acc,best_delta_pp,up_steps,first_down_step,last_down_step,worst_step,worst_acc,worst_delta_pp,down_steps,flat_steps,final_step,final_delta_pp,pattern,delta_pp_step1,delta_pp_step2,delta_pp_step3,delta_pp_step4,delta_pp_step5,delta_pp_step10,delta_pp_step20,delta_pp_step30,delta_pp_step40,delta_pp_step50
FICO-HELOC-cleaned,binclass,0.7448101265822785,2,2,3,5,40,50,40,0.7468354430379747,0.20253164556961467,"40,50",10,30,20,0.7432911392405064,-0.15189873417721378,"10,20,30","1,2,3,4,5",50,0.20253164556961467,mixed_recovered_to_gain,0.0,0.0,0.0,0.0,0.0,-0.10126582278481289,-0.15189873417721378,-0.10126582278481289,0.20253164556961467,0.20253164556961467
FOREX_audcad-day-High,binclass,0.7438692098092643,2,3,4,3,2,50,2,0.7465940054495913,0.27247956403270157,"2,40,50",5,30,20,0.7356948228882834,-0.8174386920980936,"5,10,20,30","1,3,4",50,0.27247956403270157,mixed_recovered_to_gain,0.0,0.27247956403270157,0.0,0.0,-0.27247956403270157,-0.27247956403270157,-0.8174386920980936,-0.27247956403270157,0.27247956403270157,0.27247956403270157
FOREX_audcad-hour-High,binclass,0.7120365088419852,2,7,2,1,1,50,20,0.7153451226468911,0.330861380490588,"1,5,10,20,30,40,50",3,4,3,0.7113519680547633,-0.068454078722191,"3,4",2,50,0.1369081574443709,mixed_recovered_to_gain,0.04563605248145697,0.0,-0.068454078722191,-0.03422703936110105,0.022818026240722933,0.29663434112948694,0.330861380490588,0.25099828864803,0.14831717056473792,0.1369081574443709
FOREX_audchf-day-High,binclass,0.7547683923705722,2,1,9,0,1,1,1,0.7574931880108992,0.27247956403269047,1,2,50,50,0.7302452316076294,-2.452316076294281,"2,3,4,5,10,20,30,40,50",,50,-2.452316076294281,mixed_ended_in_decline,0.27247956403269047,-0.27247956403270157,-0.27247956403270157,-0.5449591280654031,-1.0899182561307952,-1.6348773841961872,-1.6348773841961872,-1.0899182561307952,-2.1798365122615793,-2.452316076294281
FOREX_audjpy-day-High,binclass,0.7656675749318801,2,4,0,6,10,50,10,0.771117166212534,0.544959128065392,"10,20,30,50",,,1,0.7656675749318801,0.0,,"1,2,3,4,5,40",50,0.27247956403270157,nonnegative_gain,0.0,0.0,0.0,0.0,0.0,0.544959128065392,0.544959128065392,0.544959128065392,0.0,0.27247956403270157
FOREX_audjpy-hour-High,binclass,0.7086138049058757,2,7,2,1,1,50,50,0.7148887621220764,0.6274957216200749,"1,3,10,20,30,40,50",4,5,5,0.7082715345122647,-0.03422703936110105,"4,5",2,50,0.6274957216200749,mixed_recovered_to_gain,0.011409013120367018,0.0,0.03422703936108995,-0.022818026240734035,-0.03422703936110105,0.011409013120367018,0.10268111808328095,0.07986309184255802,0.23958927552766296,0.6274957216200749
FOREX_audsgd-hour-High,binclass,0.6838562464346833,2,10,0,0,1,50,40,0.6990302338847689,1.517398745008558,"1,2,3,4,5,10,20,30,40,50",,,1,0.6861380490587564,0.22818026240730704,,,50,1.346263548203086,all_steps_up,0.22818026240730704,0.46776953793497,0.5818596691386291,0.5704506560182621,0.6389047347404531,0.8442669709070261,1.118083285795779,1.426126640045644,1.517398745008558,1.346263548203086
FOREX_audusd-hour-High,binclass,0.6816885339418141,2,10,0,0,1,50,30,0.6956075299486595,1.391899600684543,"1,2,3,4,5,10,20,30,40,50",,,1,0.6827153451226469,0.10268111808328095,,,50,1.391899600684543,all_steps_up,0.10268111808328095,0.262407301768397,0.43354249857386895,0.513405590416427,0.536223616657161,0.787221905305191,1.197946377638337,1.391899600684543,1.346263548203075,1.391899600684543
FOREX_cadjpy-day-High,binclass,0.7166212534059946,2,2,6,2,20,40,20,0.7193460490463215,0.27247956403269047,"20,40",2,50,50,0.6948228882833788,-2.1798365122615793,"2,3,4,5,10,50","1,30",50,-2.1798365122615793,mixed_ended_in_decline,0.0,-0.27247956403270157,-0.27247956403270157,-0.27247956403270157,-0.5449591280654031,-0.8174386920980936,0.27247956403269047,0.0,0.27247956403269047,-2.1798365122615793
FOREX_cadjpy-hour-High,binclass,0.7007415858528238,2,6,2,2,4,50,50,0.7043924700513405,0.36508841985167795,"4,10,20,30,40,50",1,2,1,0.7002852253280091,-0.04563605248146807,"1,2","3,5",50,0.36508841985167795,mixed_recovered_to_gain,-0.04563605248146807,-0.03422703936110105,0.0,0.03422703936108995,0.0,0.04563605248145697,0.04563605248145697,0.04563605248145697,0.193953223046206,0.36508841985167795
Firm-Teacher_Clave-Direction_Classification,multiclass,0.8782407407407408,4,0,7,3,,,2,0.8782407407407408,0.0,,1,40,40,0.875462962962963,-0.2777777777777768,"1,3,4,5,10,30,40","2,20,50",50,0.0,nonpositive_decline,-0.04629629629629983,0.0,-0.09259259259259967,-0.1388888888888884,-0.1388888888888884,-0.1388888888888884,0.0,-0.09259259259259967,-0.2777777777777768,0.0
Fitness_Club_c,binclass,0.7866666666666666,2,6,0,4,5,50,10,0.7933333333333333,0.666666666666671,"5,10,20,30,40,50",,,1,0.7866666666666666,0.0,,"1,2,3,4",50,0.666666666666671,nonnegative_gain,0.0,0.0,0.0,0.0,0.33333333333334103,0.666666666666671,0.666666666666671,0.666666666666671,0.666666666666671,0.666666666666671
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,0.66875,2,1,0,9,50,50,50,0.675,0.6250000000000089,50,,,1,0.66875,0.0,,"1,2,3,4,5,10,20,30,40",50,0.6250000000000089,nonnegative_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6250000000000089
