dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_gate_d,n_test_e,ttt_loss,ttt_steps,ttt_lr,ttt_update_ran,ttt_gate_passed,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,gate_baseline_accuracy,gate_adapted_accuracy,gate_accuracy_delta,gate_baseline_loss,gate_adapted_loss,gate_loss_delta,ttt_gate_threshold,ttt_gate_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9447665547757095,97.48763346672058,11.978790998458862,ok,,26215,15828,7701,2686,6554,0.18874391913414001,20,2.6719580656891115e-06,True,True,True,85.12215757369995,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.9415487714072971,0.9419210722263589,0.00037230081906181045,0.1836939232341053,0.18497031207004225,0.001276388835936948,0.0,Gate passed: gate_accuracy_delta=0.000372 > threshold=0.000000
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5875226039783001,257.0799822807312,34.319851875305176,ok,,44236,26708,12995,4533,11060,0.8866802453994751,20,2.6719580656891115e-06,True,True,True,228.91556572914124,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.57180675049636,0.57224795940878,0.00044120891242005467,0.8853337656980917,0.8841804899898007,-0.001153275708291046,0.0,Gate passed: gate_accuracy_delta=0.000441 > threshold=0.000000
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.7126865671641791,2.5157902240753174,0.2767024040222168,ok,,1072,647,315,110,268,0.4656769633293152,20,2.6719580656891115e-06,True,False,False,1.1328387260437012,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7,0.7,0.0,0.5938935016029743,0.5985295557841165,0.004636054181142213,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8320400500625782,126.67704153060913,6.973892688751221,ok,,31958,19295,9388,3275,7990,0.4394444525241852,20,2.6719580656891115e-06,True,False,False,120.25967597961426,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.8317557251908397,0.8317557251908397,0.0,0.44164902877366513,0.4410475144553104,-0.0006015143183547567,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7489177489177489,2.4534997940063477,0.5281224250793457,ok,,920,556,270,94,231,0.3921438753604889,20,2.6719580656891115e-06,True,False,False,1.1103196144104004,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.723404255319149,0.723404255319149,0.0,0.5258635435378178,0.5265439476262515,0.0006804040884336171,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7448101265822785,15.021445274353027,2.9448864459991455,ok,,7896,4767,2320,809,1975,0.5278250575065613,20,2.6719580656891115e-06,True,False,False,11.164249897003174,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7132262051915945,0.7132262051915945,0.0,0.569430899124208,0.5693861647314609,-4.4734392747103335e-05,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7547683923705722,2.973031759262085,0.3502473831176758,ok,,1466,885,431,150,367,0.5040084719657898,20,2.6719580656891115e-06,True,False,False,1.339796543121338,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7733333333333333,0.7733333333333333,0.0,0.5222758257892188,0.5211131401181698,-0.0011626856710490463,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.6977752424415288,167.2644202709198,22.943947792053223,ok,,35060,21168,10300,3592,8765,0.5609361529350281,20,2.6719580656891115e-06,True,True,True,147.75112533569336,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.6876391982182628,0.6979398663697105,0.0103006681514477,0.5961926158662127,0.5783343273486616,-0.017858288517551113,0.0,Gate passed: gate_accuracy_delta=0.010301 > threshold=0.000000
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7021106674272676,167.08224153518677,22.93425178527832,ok,,35060,21168,10300,3592,8765,0.6899378895759583,20,2.6719580656891115e-06,True,True,True,147.5174515247345,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.7001670378619154,0.7032293986636972,0.003062360801781794,0.5743935648043339,0.5709272922147989,-0.0034662725895350244,0.0,Gate passed: gate_accuracy_delta=0.003062 > threshold=0.000000
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.66875,2.974484443664551,0.37885403633117676,ok,,1280,773,376,131,320,0.5594096779823303,20,2.6719580656891115e-06,True,False,False,1.3128924369812012,stratified,A->B/CD: stratified split | CD->C/D: stratified split,0.5725190839694656,0.5725190839694656,0.0,0.7362588796992758,0.7338022381525319,-0.002456641546743965,0.0,Gate rejected: gate_accuracy_delta=0.000000 <= threshold=0.000000
