dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_adaptor_enabled,ttt_adaptor_block,ttt_adaptor_bottleneck,ttt_adaptor_trainable_params,ttt_adaptor_target
Click_prediction_small,/data0/zhuhao2025/tabiclv2_test/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8335419274092616,0.7625649450583764,0.5094981182677866,0.5970143771139855,0.4463293118733826,42.32438445091248,18.131430864334103,ok,,31958,25566,0,7990,0.4538818001747131,32,1e-05,True,42.01757526397705,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.6259131967463027,0.6259131967463027,0.8322903629536921,0.8322903629536921,0,True,False,,True,dcnv2,64,67136,row_interactor_output
Credit_c,/data0/zhuhao2025/tabiclv2_test/data178/Credit_c,multiclass,80000,16000,20000,22,3,0.81855,0.8185514098696635,0.8263726852219944,0.9311084887978704,0.4245330533497137,232.16300058364868,365.0467731952667,ok,,80000,64000,0,20000,0.6394646465778351,64,1e-05,True,227.58544921875,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,8,epoch_chunk,roc_auc,0.9259273866140716,0.9259273866140716,0.8126875,0.8126875,0,True,False,,True,dcnv2,64,67136,row_interactor_output
Customer_Personality_Analysis,/data0/zhuhao2025/tabiclv2_test/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.890625,0.8819285508425728,0.7204332667371802,0.913209542836996,0.2436454730991126,7.448390245437622,1.292735576629639,ok,,1792,1433,0,448,0.2831634879112243,8,1e-05,True,7.249832630157471,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8802565051177704,0.8802565051177704,0.8913649025069638,0.8913649025069638,0,True,False,,True,dcnv2,64,67136,row_interactor_output
Diabetic_Retinopathy_Debrecen,/data0/zhuhao2025/tabiclv2_test/data178/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7359307359307359,0.7356618719252352,0.7339656729900632,0.838452273411623,0.4882880897299829,9.688315629959106,1.3200535774230957,ok,,920,736,0,231,0.542197585105896,15,1e-05,True,9.581394910812378,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8179876601803513,0.8184622686283817,0.7445652173913043,0.7445652173913043,7,True,False,,True,dcnv2,64,67136,row_interactor_output
E-CommereShippingData,/data0/zhuhao2025/tabiclv2_test/data178/E-CommereShippingData,binclass,0,0,0,0,0,,,,,,0.0,0.0,fail,RuntimeError: expected scalar type Half but found Float,0,0,0,0,,0,,False,0.0,,,0,0,,,,,,,0,False,False,,False,,0,0,
Employee,/data0/zhuhao2025/tabiclv2_test/data178/Employee,binclass,3722,745,931,8,2,0.8592910848549946,0.8525054685391413,0.810195887888707,0.8768438011456627,0.3554912559868899,9.260629415512083,1.9300858974456787,ok,,3722,2977,0,931,0.362623929977417,12,1e-05,True,9.111148118972778,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8830361707566462,0.8831719708588956,0.8523489932885906,0.8523489932885906,4,True,False,,True,dcnv2,64,67136,row_interactor_output
FICO-HELOC-cleaned,/data0/zhuhao2025/tabiclv2_test/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7549367088607595,0.7546711509554379,0.7537749764770173,0.8264137415306991,0.5123393688624764,17.435076236724854,7.096705913543701,ok,,7896,6316,0,1975,0.5236581265926361,8,1e-05,True,16.93597102165222,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8069103929536685,0.8069103929536685,0.7493670886075949,0.7493670886075949,0,True,False,,True,dcnv2,64,67136,row_interactor_output
FOREX_audcad-day-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7465940054495913,0.7464998647714711,0.7463613140854275,0.8318333036297748,0.5064957704108133,11.60835599899292,0.7811825275421143,ok,,1467,1173,0,367,0.5267243385314941,20,1e-05,True,11.525001764297484,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.7958805831983337,0.7962508678546633,0.7040816326530612,0.7040816326530612,12,True,False,,True,dcnv2,64,67136,row_interactor_output
FOREX_audcad-hour-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7162578436965202,0.7160658897928878,0.7155683901557255,0.7893637628418523,0.55318271364183,57.20521974563599,61.31604194641113,ok,,35060,28048,0,8765,0.5660876333713531,32,1e-05,True,56.28975796699524,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.7930635829207795,0.7930635829207795,0.7164860239589276,0.7164860239589276,0,True,False,,True,dcnv2,64,67136,row_interactor_output
FOREX_audchf-day-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7493188010899182,0.749274129655601,0.7495692984019486,0.8391997861343788,0.4968764933261982,9.41617488861084,0.7785472869873047,ok,,1466,1172,0,367,0.5044799745082855,15,1e-05,True,9.321349382400513,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.7918768803517705,0.7922471650081001,0.7108843537414966,0.7108843537414966,7,True,False,,True,dcnv2,64,67136,row_interactor_output
FOREX_audjpy-day-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.782016348773842,0.7815679029797274,0.7808394269068426,0.8556566197015636,0.4749917720630157,5.309901475906372,0.8029606342315674,ok,,1465,1172,0,367,0.533245325088501,8,1e-05,True,5.229966402053833,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8312820512820512,0.8312820512820512,0.7508532423208191,0.7508532423208191,0,True,False,,True,dcnv2,64,67136,row_interactor_output
FOREX_audjpy-hour-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7217341699942955,0.7217080629519984,0.7213977487326864,0.7998381782409456,0.5414034111454933,56.483614683151245,61.48423886299133,ok,,35060,28048,0,8765,0.5633615255355835,32,1e-05,True,55.59776186943054,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.7892385244179001,0.7892385244179001,0.716343411294923,0.716343411294923,0,True,False,,True,dcnv2,64,67136,row_interactor_output
FOREX_audsgd-hour-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7098687963491158,0.7098808831478722,0.7096591079638404,0.7863091113823701,0.5549168955670919,207.03621864318848,60.93995404243469,ok,,35060,28048,0,8765,0.590131402015686,120,1e-05,True,205.9616839885712,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.7759432596879825,0.7788918177016401,0.6995151169423844,0.7027952082144895,24,False,False,,True,dcnv2,64,67136,row_interactor_output
FOREX_audusd-hour-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.7073588134626355,0.7073647305819839,0.7063494966237988,0.7855255346605454,0.5552338135016178,59.782856702804565,61.61613035202026,ok,,35060,28048,0,8765,0.560894638299942,32,1e-05,True,58.769198179245,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.7771021862436497,0.7771021862436497,0.7082144894466629,0.7082144894466629,0,True,False,,True,dcnv2,64,67136,row_interactor_output
FOREX_cadjpy-day-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7302452316076294,0.7299324608330247,0.7303397481587075,0.7935525065336184,0.5531093182565727,6.115570068359375,0.7711911201477051,ok,,1467,1173,0,367,0.6071653664112091,10,1e-05,True,6.033274173736572,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.7786236579044798,0.778901332839689,0.7006802721088435,0.7006802721088435,2,True,False,,True,dcnv2,64,67136,row_interactor_output
FOREX_cadjpy-hour-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7167142042213348,0.7166829992368187,0.7162505068603,0.790146854723959,0.5536671394629081,56.69904708862305,60.829264879226685,ok,,35060,28048,0,8765,0.543674886226654,32,1e-05,True,55.84767150878906,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.7875864941308987,0.7875864941308987,0.7136337706788363,0.7136337706788363,0,True,False,,True,dcnv2,64,67136,row_interactor_output
Firm-Teacher_Clave-Direction_Classification,/data0/zhuhao2025/tabiclv2_test/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8787037037037037,0.8768428066676891,0.7958375238921434,0.9704413837315976,0.3157441945136933,16.79413080215454,6.938930511474609,ok,,8640,6912,0,2160,0.3268023133277893,8,1e-05,True,16.270475387573242,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9648407346944146,0.9648407346944146,0.8674768518518519,0.8674768518518519,0,True,False,,True,dcnv2,64,67136,row_interactor_output
Fitness_Club_c,/data0/zhuhao2025/tabiclv2_test/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.8033333333333333,0.7961465279630122,0.7378673957621326,0.8231242441768758,0.4537771899844503,4.971792697906494,0.4835066795349121,ok,,1200,960,0,300,0.4415569305419922,8,1e-05,True,4.903118133544922,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8249528340579115,0.8249528340579115,0.7666666666666667,0.7666666666666667,0,True,False,,True,dcnv2,64,67136,row_interactor_output
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/data0/zhuhao2025/tabiclv2_test/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,0.6727529066015349,0.6781250000000001,0.72853515625,0.6021438018455353,6.975990056991577,0.8866963386535645,ok,,1280,1024,0,320,0.6219395697116852,8,1e-05,True,6.798839092254639,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.67193603515625,0.67193603515625,0.64453125,0.64453125,0,True,False,,True,dcnv2,64,67136,row_interactor_output
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/data0/zhuhao2025/tabiclv2_test/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.684375,0.6842238962003302,0.684375,0.7601953125,0.5667596160208668,15.632183313369753,0.8938083648681641,ok,,1280,1024,0,320,0.5518341064453125,21,1e-05,True,15.46512508392334,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.718353271484375,0.718902587890625,0.671875,0.671875,13,True,False,,True,dcnv2,64,67136,row_interactor_output
Gender_Gap_in_Spanish_WP,/data0/zhuhao2025/tabiclv2_test/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6157894736842106,0.5716604369641604,0.4326677154459254,0.7080731754530488,0.7904552424017482,7.337726593017578,2.272941827774048,ok,,3796,3036,0,950,0.8249136507511139,8,1e-05,True,7.157672166824341,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.6751431426314422,0.6751431426314422,0.6092105263157894,0.6092105263157894,0,True,False,,True,dcnv2,64,67136,row_interactor_output
GesturePhaseSegmentationProcessed,/data0/zhuhao2025/tabiclv2_test/data178/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.8268354430379747,0.8255874691230404,0.8020318863450685,0.967427643372116,0.4795499460620228,20.32571315765381,8.06473159790039,ok,,7898,6318,0,1975,0.6713827550411224,8,1e-05,True,19.68746280670166,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9481578182013908,0.9481578182013908,0.7854430379746835,0.7854430379746835,0,True,False,,True,dcnv2,64,67136,row_interactor_output
HR_Analytics_Job_Change_of_Data_Scientists,/data0/zhuhao2025/tabiclv2_test/data178/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8006263048016702,0.8031068007088733,0.7469025872281881,0.8113270622576236,0.4297153727501691,25.99941921234131,15.335328102111816,ok,,15326,12260,0,3832,0.4757547080516815,16,1e-05,True,25.34923887252808,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.8096695667981809,0.8096695667981809,0.8033268101761253,0.8033268101761253,0,True,False,,True,dcnv2,64,67136,row_interactor_output
IBM_HR_Analytics_Employee_Attrition_and_Performance,/data0/zhuhao2025/tabiclv2_test/data178/IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1176,236,294,31,2,0.8775510204081632,0.865202906820623,0.6945473339650271,0.8367645792057885,0.3283267130709993,12.563281297683716,1.0182230472564695,ok,,1176,940,0,294,0.2962478101253509,14,1e-05,True,12.353591680526732,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8616427432216905,0.8617756512493354,0.8940677966101694,0.8940677966101694,6,True,False,,True,dcnv2,64,67136,row_interactor_output
INNHotelsGroup,/data0/zhuhao2025/tabiclv2_test/data178/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.9044796691936596,0.9038980945316248,0.8858275278167169,0.9628306790009422,0.2232063520546787,56.58996748924256,46.50297689437866,ok,,29020,23216,0,7255,0.2888787686824798,24,1e-05,True,55.13057374954224,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.9585029058408396,0.9585029058408396,0.8993797381116472,0.8993797381116472,0,True,False,,True,dcnv2,64,67136,row_interactor_output
Indian_pines,/data0/zhuhao2025/tabiclv2_test/data178/Indian_pines,multiclass,7315,1463,1829,220,8,0.9879715691634772,0.9879578467409422,0.993097442680776,0.9998890431897652,0.0299800070095213,89.23146462440491,87.80183005332947,ok,,7315,5852,0,1829,0.0714159160852432,8,1e-05,True,85.21514296531677,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9995768366439128,0.9995768366439128,0.9829118250170882,0.9829118250170882,0,True,False,,True,dcnv2,64,67136,row_interactor_output
JapaneseVowels,/data0/zhuhao2025/tabiclv2_test/data178/JapaneseVowels,multiclass,0,0,0,0,0,,,,,,0.0,0.0,fail,RuntimeError: expected scalar type Half but found Float,0,0,0,0,,0,,False,0.0,,,0,0,,,,,,,0,False,False,,False,,0,0,
KDDCup09_upselling,/data0/zhuhao2025/tabiclv2_test/data178/KDDCup09_upselling,binclass,4102,821,1026,49,2,0.8118908382066277,0.8101229773462784,0.8118908382066277,0.9112870436867564,0.3572467146757855,16.952152490615845,4.865875482559204,ok,,4102,3281,0,1026,0.3862338662147522,8,1e-05,True,16.28720760345459,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.910830217791229,0.910830217791229,0.8136419001218027,0.8136419001218027,0,True,False,,True,dcnv2,64,67136,row_interactor_output
MIC,/data0/zhuhao2025/tabiclv2_test/data178/MIC,binclass,0,0,0,0,0,,,,,,0.0,0.0,fail,RuntimeError: expected scalar type Half but found Float,0,0,0,0,,0,,False,0.0,,,0,0,,,,,,,0,False,False,,False,,0,0,
MagicTelescope,/data0/zhuhao2025/tabiclv2_test/data178/MagicTelescope,binclass,15216,3044,3804,9,2,0.8945846477392219,0.8931179461143323,0.8723709716721402,0.9469717909458018,0.263544322504064,21.54011583328247,14.32030177116394,ok,,15216,12172,0,3804,0.3165575414896011,16,1e-05,True,21.12122392654419,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.9360819153670616,0.9360819153670616,0.8814060446780552,0.8814060446780552,0,True,False,,True,dcnv2,64,67136,row_interactor_output
