dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7166212534059946,11.046513557434082,0.4189832210540771,ok,,1467,1100,367,367,0.5359322801232338,10,5e-06,True,11.011043310165403,stratified,stratified split
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7148887621220764,811.148059129715,23.46601605415344,ok,,35060,26295,8765,8765,0.5681870430707932,10,5e-06,True,810.8547134399414,stratified,stratified split
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8759259259259259,64.80117297172546,3.0797390937805176,ok,,8640,6480,2160,2160,0.3358245827257633,10,5e-06,True,64.62882494926453,stratified,stratified split
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.7933333333333333,8.312399864196777,0.2576296329498291,ok,,1200,900,300,300,0.5048517510294914,10,5e-06,True,8.279837608337402,stratified,stratified split
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,10.802570343017578,0.4162654876708984,ok,,1280,960,320,320,0.6418062895536423,10,5e-06,True,10.738606452941896,stratified,stratified split
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.68125,10.983547449111938,0.4291639328002929,ok,,1280,960,320,320,0.4919372871518135,10,5e-06,True,10.922807455062866,stratified,stratified split
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.608421052631579,21.149126291275024,1.1800944805145264,ok,,3796,2847,949,950,0.8036685138940811,10,5e-06,True,21.09600806236267,stratified,stratified split
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data178/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.8030379746835443,63.76456141471863,3.4628281593322754,ok,,7898,5923,1975,1975,0.6654045432806015,10,5e-06,True,63.54905366897583,stratified,stratified split
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data178/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8001043841336117,173.61210560798645,6.651318550109863,ok,,15326,11494,3832,3832,0.430594939738512,10,5e-06,True,173.39385676383972,stratified,stratified split
IBM_HR_Analytics_Employee_Attrition_and_Performance,/home/crc00006699/zh/tabiclv2/data178/IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1176,236,294,31,2,0.8673469387755102,10.6811842918396,0.5131580829620361,ok,,1176,882,294,294,0.2608516700565815,10,5e-06,True,10.60801887512207,stratified,stratified split
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data178/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.9026878015161958,570.8485772609711,17.970896005630493,ok,,29020,21765,7255,7255,0.2346515040844679,10,5e-06,True,570.4085726737976,stratified,stratified split
Indian_pines,/home/crc00006699/zh/tabiclv2/data178/Indian_pines,multiclass,7315,1463,1829,220,8,0.965008201202843,117.69942498207092,11.01875925064087,ok,,7315,5486,1829,1829,0.1355555979534983,10,5e-06,True,116.52143263816832,stratified,stratified split
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data178/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9989964877069744,58.92247772216797,2.842969417572021,ok,,7968,5976,1992,1993,0.0039035282679833,10,5e-06,True,58.8199679851532,stratified,stratified split
