dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,fit_seconds,predict_seconds,status,error,aoc,aoc_metric,aoc_error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,llm_col_enabled,llm_col_model,llm_col_alpha,llm_col_dim,llm_col_feature_count,llm_col_cache_hits,llm_col_cache_misses,llm_col_error
IBM_HR_Analytics_Employee_Attrition_and_Performance,/home/crc00006699/zh/tabiclv2/data178/IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1176,236,294,31,2,0.8775510204081632,0.865202906820623,31.46684837341309,0.5879905223846436,ok,,0.1630631406667241,1_minus_roc_auc,,1176,940,0,294,0.3018194558098912,8,5e-06,True,31.392820119857788,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9110169491525424,0.9110169491525424,0,True,True,text-embedding-v4,0.05,128,31,0,31,
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data178/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9994982438534872,0.999498083906782,194.20925092697144,2.955708742141724,ok,,0.0009614327224848,log_loss,,7968,6374,0,1993,0.014292534237029,8,5e-06,True,194.1047649383545,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9968632371392724,0.9968632371392724,0,True,True,text-embedding-v4,0.05,128,14,0,14,
MagicTelescope,/home/crc00006699/zh/tabiclv2/data178/MagicTelescope,binclass,15216,3044,3804,9,2,0.8951104100946372,0.8936037007397082,1369.9471864700315,6.411985158920288,ok,,0.0510113932137761,1_minus_roc_auc,,15216,12172,0,3804,0.2805994432419538,22,5e-06,True,1369.8178191184998,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8820630749014454,0.8850197109067017,14,True,True,text-embedding-v4,0.05,128,9,0,9,
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data178/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8333333333333334,0.7812470672147456,23.38592004776001,0.4671528339385986,ok,,0.2233270145570298,1_minus_roc_auc,,1822,1457,0,456,0.3818044206127524,8,5e-06,True,23.35351657867432,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8547945205479452,0.8547945205479452,0,True,True,text-embedding-v4,0.05,128,7,0,7,
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data178/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7272727272727273,0.7179459691252145,15.880610466003418,0.4362533092498779,ok,,0.1390740740740741,1_minus_roc_auc,,614,491,0,154,0.5465051382780075,8,5e-06,True,15.851565837860107,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.7723577235772358,0.7723577235772358,0,True,True,text-embedding-v4,0.05,128,8,0,8,
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data178/QSAR_biodegradation,binclass,843,169,211,41,2,0.8862559241706162,0.8844403574544338,33.19430756568909,1.2037558555603027,ok,,0.0493963782696176,1_minus_roc_auc,,843,674,0,211,0.2890900922939181,9,5e-06,True,33.077582359313965,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.863905325443787,0.8698224852071006,1,True,True,text-embedding-v4,0.05,128,41,0,41,
Satellite,/home/crc00006699/zh/tabiclv2/data178/Satellite,binclass,4080,816,1020,36,2,0.9931372549019608,0.9921048327071554,111.53050255775452,2.0904929637908936,ok,,0.0060364842454394,1_minus_roc_auc,,4080,3264,0,1020,0.0065181872778339,8,5e-06,True,111.39582800865172,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9963235294117648,0.9963235294117648,0,True,True,text-embedding-v4,0.05,128,36,0,36,
Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/data178/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6524390243902439,0.6012679739509007,68.90214443206787,0.7509572505950928,ok,,0.3287890625,1_minus_roc_auc,,2620,2096,0,656,0.6469021923840046,14,5e-06,True,68.86635708808899,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.6412213740458015,0.6450381679389313,6,True,True,text-embedding-v4,0.05,128,8,0,8,
accelerometer,/home/crc00006699/zh/tabiclv2/data178/accelerometer,multiclass,122403,24481,30601,4,4,0.7457272638149081,0.7436520307633886,5769.505288600922,228.48146033287048,ok,,0.5304840092950321,log_loss,,122403,97922,0,30601,0.5729962475597858,48,5e-06,True,5769.103327512741,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,0.7437196192965974,0.7462521955802459,2,True,True,text-embedding-v4,0.05,128,4,0,4,
ada_prior,/home/crc00006699/zh/tabiclv2/data178/ada_prior,binclass,3649,730,913,14,2,0.8663745892661555,0.8586959679956893,158.92951583862305,1.230109453201294,ok,,0.0970286793131348,1_minus_roc_auc,,3649,2919,0,913,0.3338243374601006,19,5e-06,True,158.86004376411438,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8328767123287671,0.8465753424657534,11,True,True,text-embedding-v4,0.05,128,14,0,14,
allrep,/home/crc00006699/zh/tabiclv2/data178/allrep,multiclass,3017,604,755,29,4,0.9841059602649008,0.9836103393706578,86.67396712303162,1.3275091648101809,ok,,0.0380076884879868,log_loss,,3017,2413,0,755,0.0302558143157511,10,5e-06,True,86.56366682052612,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9867549668874172,0.98841059602649,2,True,True,text-embedding-v4,0.05,128,29,0,29,
autoUniv-au4-2500,/home/crc00006699/zh/tabiclv2/data178/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.714,0.6844249057584817,154.3991720676422,2.082672119140625,ok,,0.6621461650938697,log_loss,,2000,1600,0,500,0.7470498457551003,12,5e-06,True,154.14126706123352,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.7075,0.72,4,True,True,text-embedding-v4,0.05,128,100,0,100,
banknote_authentication,/home/crc00006699/zh/tabiclv2/data178/banknote_authentication,binclass,1097,220,275,4,2,0.5345454545454545,0.4156603604640751,19.776651620864868,0.1532175540924072,ok,,0.4528822457944926,1_minus_roc_auc,,1097,877,0,275,0.678499661386013,17,5e-06,True,19.75231623649597,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.5772727272727273,0.5909090909090909,9,True,True,text-embedding-v4,0.05,128,4,0,4,
churn,/home/crc00006699/zh/tabiclv2/data178/churn,binclass,4000,800,1000,20,2,0.967,0.9656316025636732,83.95048522949219,1.5668950080871582,ok,,0.0676111922984833,1_minus_roc_auc,,4000,3200,0,1000,0.1188640228938311,8,5e-06,True,83.85693764686584,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.975,0.975,0,True,True,text-embedding-v4,0.05,128,20,0,20,
compass,/home/crc00006699/zh/tabiclv2/data178/compass,binclass,13315,2663,3329,17,2,0.8987683989185942,0.8986704537208636,1672.6386733055117,6.002671957015991,ok,,0.0390695382882881,1_minus_roc_auc,,13315,10652,0,3329,0.3357837107032537,30,5e-06,True,1672.424458026886,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8047315058205032,0.8764551257979722,29,False,True,text-embedding-v4,0.05,128,17,0,17,
customer_satisfaction_in_airline,/home/crc00006699/zh/tabiclv2/data178/customer_satisfaction_in_airline,binclass,103904,20781,25976,21,2,0.9647751770865414,,2.297561883926392,203.91481137275696,ok,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 40.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 22.00 MiB is free. Process 49894 has 23.54 GiB memory in use. Of the allocated memory 22.91 GiB is allocated by PyTorch, and 318.29 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,,0,0,0,0,,0,,False,0.0,,,0,0,,,,0,False,True,text-embedding-v4,0.05,128,21,0,21,
delta_ailerons,/home/crc00006699/zh/tabiclv2/data178/delta_ailerons,binclass,5703,1141,1426,5,2,0.953015427769986,0.953028571020914,64.5630042552948,1.0323467254638672,ok,,0.0176153607683543,1_minus_roc_auc,,5703,4562,0,1426,0.1477640303783118,8,5e-06,True,64.5206925868988,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9430324276950044,0.9430324276950044,0,True,True,text-embedding-v4,0.05,128,5,0,5,
drug_consumption,/home/crc00006699/zh/tabiclv2/data178/drug_consumption,multiclass,1507,302,377,12,7,0.403183023872679,0.2316968605998004,24.799697160720825,0.501335620880127,ok,,1.5125138021957498,log_loss,,1507,1205,0,377,1.5001232735812664,8,5e-06,True,24.759019136428837,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.4039735099337748,0.4039735099337748,0,True,True,text-embedding-v4,0.05,128,12,0,12,
electricity,/home/crc00006699/zh/tabiclv2/data178/electricity,binclass,36249,7250,9063,8,2,0.9415204678362572,0.9414940578962004,5576.242198467255,25.621678829193115,ok,,0.0126349457725296,1_minus_roc_auc,,36249,28999,0,9063,0.2799306912347674,60,5e-06,True,5575.955043792725,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,0.917103448275862,0.9321379310344828,30,False,True,text-embedding-v4,0.05,128,8,0,8,
eye_movements_bin,/home/crc00006699/zh/tabiclv2/data178/eye_movements_bin,binclass,6086,1218,1522,20,2,0.9500657030223392,0.9500653581227974,539.412112236023,2.444291830062866,ok,,0.007953432874995,1_minus_roc_auc,,6086,4868,0,1522,0.369883828330785,30,5e-06,True,539.288830280304,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.6477832512315271,0.9203612479474548,29,False,True,text-embedding-v4,0.05,128,20,0,20,
gina_agnostic,/home/crc00006699/zh/tabiclv2/data178/gina_agnostic,binclass,2774,555,694,970,2,0.9740634005763688,,3.1922767162323,44.48625326156616,ok,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 1.03 GiB. GPU 0 has a total capacity of 23.57 GiB of which 720.00 MiB is free. Process 49894 has 22.86 GiB memory in use. Of the allocated memory 22.35 GiB is allocated by PyTorch, and 194.65 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,,0,0,0,0,,0,,False,0.0,,,0,0,,,,0,False,True,text-embedding-v4,0.05,128,970,0,970,
hill-valley,/home/crc00006699/zh/tabiclv2/data178/hill-valley,binclass,969,194,243,100,2,0.9753086419753086,0.9753002754267776,156.4900255203247,1.123671293258667,ok,,0.0008128979813033,1_minus_roc_auc,,969,775,0,243,0.0304951500911556,24,5e-06,True,156.34219670295715,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9329896907216496,0.9845360824742267,16,True,True,text-embedding-v4,0.05,128,100,0,100,
ibm-employee-performance,/home/crc00006699/zh/tabiclv2/data178/ibm-employee-performance,binclass,1176,236,294,30,2,1.0,1.0,31.048993587493896,0.5851759910583496,ok,,0.0,1_minus_roc_auc,,1176,940,0,294,1.7494972226472782e-06,8,5e-06,True,30.969459295272827,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,1.0,1.0,0,True,True,text-embedding-v4,0.05,128,30,0,30,
internet_usage,/home/crc00006699/zh/tabiclv2/data178/internet_usage,multiclass,8086,1618,2022,70,46,0.5499505440158259,0.4736215384022403,4.713390111923218,15.381086349487305,ok,,1.3633728895928694,log_loss,,8086,6468,0,2022,,0,5e-06,False,3.7031500339508057,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=46 exceeds model max_classes=10,0,0,epoch_chunk,,,0,False,True,text-embedding-v4,0.05,128,70,0,70,
kc1,/home/crc00006699/zh/tabiclv2/data178/kc1,binclass,1687,338,422,21,2,0.8767772511848341,0.8621892824016847,45.36009478569031,0.6931965351104736,ok,,0.1394527041585864,1_minus_roc_auc,,1687,1349,0,422,0.3033591601997614,11,5e-06,True,45.30137610435486,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.878698224852071,0.8846153846153846,3,True,True,text-embedding-v4,0.05,128,21,0,21,
kropt,/home/crc00006699/zh/tabiclv2/data178/kropt,multiclass,22444,4489,5612,6,18,0.9160727013542408,0.9159837702371332,1.3368043899536133,25.532753944396973,ok,,0.2397507916475675,log_loss,,22444,17955,0,5612,,0,5e-06,False,0.8372583389282227,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=18 exceeds model max_classes=10,0,0,epoch_chunk,,,0,False,True,text-embedding-v4,0.05,128,6,0,6,
letter,/home/crc00006699/zh/tabiclv2/data178/letter,multiclass,16000,3200,4000,15,26,0.99,0.9899971395278518,1.7433629035949707,17.5113582611084,ok,,0.0263694827365603,log_loss,,16000,12800,0,4000,,0,5e-06,False,1.2068586349487305,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=26 exceeds model max_classes=10,0,0,epoch_chunk,,,0,False,True,text-embedding-v4,0.05,128,15,0,15,
maternal_health_risk,/home/crc00006699/zh/tabiclv2/data178/maternal_health_risk,multiclass,811,163,203,6,3,0.8719211822660099,0.8701077326808658,17.873135328292847,0.5429761409759521,ok,,0.3324035572150929,log_loss,,811,648,0,203,0.4372975984588265,9,5e-06,True,17.84777331352234,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8282208588957055,0.8343558282208589,1,True,True,text-embedding-v4,0.05,128,6,0,6,
mfeat-karhunen,/home/crc00006699/zh/tabiclv2/data178/mfeat-karhunen,multiclass,1600,320,400,64,10,0.975,0.975015727207024,90.3170702457428,1.2527363300323486,ok,,0.0875747812510759,log_loss,,1600,1280,0,400,0.0346869200002402,12,5e-06,True,90.1904227733612,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.978125,0.98125,4,True,True,text-embedding-v4,0.05,128,64,0,64,
mfeat-zernike,/home/crc00006699/zh/tabiclv2/data178/mfeat-zernike,multiclass,1600,320,400,47,10,0.905,0.903971400152896,96.78248691558838,1.0125625133514404,ok,,0.2148765204296559,log_loss,,1600,1280,0,400,0.1912199547514319,17,5e-06,True,96.6764509677887,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.896875,0.9125,9,True,True,text-embedding-v4,0.05,128,47,0,47,
mobile_c36_oversampling,/home/crc00006699/zh/tabiclv2/data178/mobile_c36_oversampling,binclass,41408,8282,10352,6,2,0.9939142194744977,0.9939084272964068,1939.2464418411253,23.34514260292053,ok,,0.0006240192976559,1_minus_roc_auc,,41408,33126,0,10352,0.0314727813238278,24,5e-06,True,1939.0639505386357,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,0.9944457860420188,0.9948080173871046,4,True,True,text-embedding-v4,0.05,128,6,0,6,
national-longitudinal-survey-binary,/home/crc00006699/zh/tabiclv2/data178/national-longitudinal-survey-binary,binclass,3926,786,982,16,2,1.0,1.0,76.58702611923218,1.3913016319274902,ok,,0.0,1_minus_roc_auc,,3926,3140,0,982,0.0001829914909876,8,5e-06,True,76.50277400016785,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,1.0,1.0,0,True,True,text-embedding-v4,0.05,128,16,0,16,
one-hundred-plants-shape,/home/crc00006699/zh/tabiclv2/data178/one-hundred-plants-shape,multiclass,1280,256,320,64,100,0.8375,0.8270262896825396,4.318859100341797,5.702608823776245,ok,,0.5678311772423577,log_loss,,1280,1024,0,320,,0,5e-06,False,3.852908134460449,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=100 exceeds model max_classes=10,0,0,epoch_chunk,,,0,False,True,text-embedding-v4,0.05,128,64,0,64,
optdigits,/home/crc00006699/zh/tabiclv2/data178/optdigits,multiclass,4496,900,1124,64,10,0.9973309608540926,0.997330908588654,208.03708600997925,3.7397401332855225,ok,,0.0089721791670836,log_loss,,4496,3596,0,1124,0.0165861191344447,9,5e-06,True,207.78652667999268,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.99,0.9922222222222222,1,True,True,text-embedding-v4,0.05,128,64,0,64,
pc1,/home/crc00006699/zh/tabiclv2/data178/pc1,binclass,887,178,222,21,2,0.945945945945946,0.9366302968198704,21.532949209213257,0.8504440784454346,ok,,0.1025764895330112,1_minus_roc_auc,,887,709,0,222,0.1841802205890417,8,5e-06,True,21.48334288597107,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9325842696629212,0.9325842696629212,0,True,True,text-embedding-v4,0.05,128,21,0,21,
pendigits,/home/crc00006699/zh/tabiclv2/data178/pendigits,multiclass,8793,1759,2199,16,10,0.9972714870395636,0.9972742335430836,231.45364499092105,3.5075998306274414,ok,,0.0120183114369949,log_loss,,8793,7034,0,2199,0.0049533399651409,8,5e-06,True,231.3223659992218,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9982944855031268,0.9982944855031268,0,True,True,text-embedding-v4,0.05,128,16,0,16,
predict_students_dropout_and_academic_success,/home/crc00006699/zh/tabiclv2/data178/predict_students_dropout_and_academic_success,multiclass,3539,708,885,34,3,0.7830508474576271,0.7778367808951151,149.938378572464,1.7633662223815918,ok,,0.5520779680705677,log_loss,,3539,2831,0,885,0.545302651822567,13,5e-06,True,149.78211760520935,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8022598870056498,0.8107344632768362,5,True,True,text-embedding-v4,0.05,128,34,0,34,
ringnorm,/home/crc00006699/zh/tabiclv2/data178/ringnorm,binclass,5920,1184,1480,20,2,0.977027027027027,0.9770219907050234,244.27454161643985,2.3682281970977783,ok,,0.0028344391663972,1_minus_roc_auc,,5920,4736,0,1480,0.049310635542497,14,5e-06,True,244.16598534584045,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.981418918918919,0.983108108108108,6,True,True,text-embedding-v4,0.05,128,20,0,20,
segment,/home/crc00006699/zh/tabiclv2/data178/segment,multiclass,1848,370,462,17,7,0.9523809523809524,0.9523661343862664,51.733611822128296,0.6561059951782227,ok,,0.141146722345356,log_loss,,1848,1478,0,462,0.1787827676162123,13,5e-06,True,51.68201661109924,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9432432432432432,0.9486486486486486,5,True,True,text-embedding-v4,0.05,128,17,0,17,
shuttle,/home/crc00006699/zh/tabiclv2/data178/shuttle,multiclass,46400,9280,11600,9,7,0.9993103448275862,0.9993053493768193,2111.650759935379,39.654597759246826,ok,,0.0010317513776095,log_loss,,46400,37120,0,11600,0.0006802756715842,16,5e-06,True,2111.3038744926453,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,0.9998922413793104,0.9998922413793104,0,True,True,text-embedding-v4,0.05,128,9,0,9,
sports_articles_for_objectivity_analysis,/home/crc00006699/zh/tabiclv2/data178/sports_articles_for_objectivity_analysis,binclass,800,160,200,59,2,0.845,0.8419021663172606,33.413408517837524,1.3847413063049316,ok,,0.1052745119188868,1_minus_roc_auc,,800,640,0,200,0.4527769852429628,8,5e-06,True,33.303056716918945,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8375,0.8375,0,True,True,text-embedding-v4,0.05,128,59,0,59,
sylvine,/home/crc00006699/zh/tabiclv2/data178/sylvine,binclass,4099,820,1025,20,2,0.977560975609756,0.9775608474625496,86.70367693901062,1.583442449569702,ok,,0.0014772173489279,1_minus_roc_auc,,4099,3279,0,1025,0.0727214405778795,8,5e-06,True,86.61186647415161,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9792682926829268,0.9792682926829268,0,True,True,text-embedding-v4,0.05,128,20,0,20,
